Locality,Collection_Year,Serotype,Subclade,Accession
Brazil,1990,DENV-1,Genotype-III,AF226685
Brazil,1989,DENV-1,Genotype-III,AF226687
Brazil,2000,DENV-1,Genotype-III,FJ850070
Brazil,2000,DENV-1,Genotype-III,FJ850071
Brazil,2002,DENV-1,Genotype-III,FJ850075
Brazil,2004,DENV-1,Genotype-III,FJ850081
Brazil,2005,DENV-1,Genotype-III,FJ850084
Brazil,2006,DENV-1,Genotype-III,FJ850087
Brazil,2007,DENV-1,Genotype-III,FJ850090
Brazil,2008,DENV-1,Genotype-III,GU131863
British_Virgin_Islands,1985,DENV-1,Genotype-III,GQ868601
Brunei,2005,DENV-1,Genotype-III,EU179860
Cambodia,2019,DENV-1,New-Cambodia,OK159935
Cambodia,2019,DENV-1,New-Cambodia,OK159936
Cambodia,2019,DENV-1,New-Cambodia,OK159937
Cambodia,2019,DENV-1,New-Cambodia,OK159938
Cambodia,2019,DENV-1,New-Cambodia,OK159939
Cambodia,2019,DENV-1,New-Cambodia,OK159940
Cambodia,2019,DENV-1,New-Cambodia,OK159941
Cambodia,2019,DENV-1,New-Cambodia,OK159942
Cambodia,2019,DENV-1,New-Cambodia,OK159943
Cambodia,2019,DENV-1,New-Cambodia,OK159944
Cambodia,2019,DENV-1,New-Cambodia,OK159945
Cambodia,2019,DENV-1,New-Cambodia,OK159946
Cambodia,2019,DENV-1,New-Cambodia,OK159947
Cambodia,2019,DENV-1,New-Cambodia,OK159948
Cambodia,2019,DENV-1,New-Cambodia,OK159949
Cambodia,2019,DENV-1,New-Cambodia,OK159950
Cambodia,2019,DENV-1,New-Cambodia,OK159951
Cambodia,2019,DENV-1,New-Cambodia,OK159952
Cambodia,2019,DENV-1,New-Cambodia,OK159953
Cambodia,2019,DENV-1,New-Cambodia,OK159954
Cambodia,2019,DENV-1,New-Cambodia,OK159955
Cambodia,2019,DENV-1,New-Cambodia,OK159956
Cambodia,2019,DENV-1,New-Cambodia,OK159957
Cambodia,2019,DENV-1,New-Cambodia,OK159958
Cambodia,2019,DENV-1,New-Cambodia,OK159959
Cambodia,2020,DENV-1,New-Cambodia,OK159960
Cambodia,2020,DENV-1,New-Cambodia,OK159961
Cambodia,2019,DENV-1,New-Cambodia,OK159962
Cambodia,2019,DENV-1,New-Cambodia,OK159963
Cambodia,2019,DENV-1,New-Cambodia,OK159964
Cambodia,2019,DENV-1,New-Cambodia,OK159965
Cambodia,2019,DENV-1,New-Cambodia,OK159966
Cambodia,2019,DENV-1,New-Cambodia,OK159967
Cambodia,2019,DENV-1,New-Cambodia,OK159968
Cambodia,2019,DENV-1,New-Cambodia,OK159969
Cambodia,2019,DENV-1,New-Cambodia,OK159970
Cambodia,2019,DENV-1,New-Cambodia,OK159971
Cambodia,2019,DENV-1,New-Cambodia,OK159972
Cambodia,2019,DENV-1,New-Cambodia,OK159973
Cambodia,2019,DENV-1,New-Cambodia,OK159974
Cambodia,2019,DENV-1,New-Cambodia,OK159975
Cambodia,2019,DENV-1,New-Cambodia,OK159976
Cambodia,2020,DENV-1,New-Cambodia,OL411495
Cambodia,2019,DENV-1,New-Cambodia,OL411496
Cambodia,2020,DENV-1,New-Cambodia,OL411497
Cambodia,2019,DENV-1,New-Cambodia,OL411498
Cambodia,2019,DENV-1,New-Cambodia,OL411499
Cambodia,2019,DENV-1,New-Cambodia,OL412140
Cambodia,2019,DENV-1,New-Cambodia,OL412678
Cambodia,2019,DENV-1,New-Cambodia,OL412703
Cambodia,2019,DENV-1,New-Cambodia,OM033409
Cambodia,2019,DENV-1,New-Cambodia,OQ678009
Cambodia,2020,DENV-1,New-Cambodia,OQ678018
Cambodia,2019,DENV-1,New-Cambodia,OQ678060
Cambodia,2019,DENV-1,New-Cambodia,OQ678061
Cambodia,2019,DENV-1,New-Cambodia,OQ678099
Cambodia,2019,DENV-1,New-Cambodia,OQ678244
Cambodia,2019,DENV-1,New-Cambodia,OQ678252
Cambodia,2019,DENV-1,New-Cambodia,OQ683856
Cambodia,2020,DENV-1,New-Cambodia,OQ683880
Cambodia,2021,DENV-1,New-Cambodia,PP470671
Cambodia,2021,DENV-1,New-Cambodia,PP470672
Cambodia,2021,DENV-1,New-Cambodia,PP470673
Cambodia,2000,DENV-1,Old-Cambodia,FJ639669
Cambodia,2001,DENV-1,Old-Cambodia,FJ639670
Cambodia,2001,DENV-1,Old-Cambodia,FJ639671
Cambodia,2001,DENV-1,Old-Cambodia,FJ639672
Cambodia,2001,DENV-1,Old-Cambodia,FJ639673
Cambodia,2002,DENV-1,Old-Cambodia,FJ639674
Cambodia,2003,DENV-1,Old-Cambodia,FJ639675
Cambodia,2003,DENV-1,Old-Cambodia,FJ639676
Cambodia,2003,DENV-1,Old-Cambodia,FJ639677
Cambodia,2003,DENV-1,Old-Cambodia,FJ639678
Cambodia,2003,DENV-1,Old-Cambodia,FJ639679
Cambodia,2003,DENV-1,Old-Cambodia,FJ639680
Cambodia,2003,DENV-1,Old-Cambodia,FJ639681
Cambodia,2004,DENV-1,Old-Cambodia,FJ639682
Cambodia,2005,DENV-1,Old-Cambodia,FJ639683
Cambodia,2005,DENV-1,Old-Cambodia,FJ639684
Cambodia,2005,DENV-1,Old-Cambodia,FJ639685
Cambodia,2006,DENV-1,Old-Cambodia,FJ639686
Cambodia,2006,DENV-1,Old-Cambodia,FJ639687
Cambodia,2007,DENV-1,Old-Cambodia,FJ639688
Cambodia,2007,DENV-1,Old-Cambodia,FJ639689
Cambodia,2007,DENV-1,Old-Cambodia,FJ639690
Cambodia,2007,DENV-1,Old-Cambodia,FJ639691
Cambodia,2007,DENV-1,Old-Cambodia,FJ639692
Cambodia,2007,DENV-1,Old-Cambodia,FJ639693
Cambodia,2007,DENV-1,Old-Cambodia,FJ639694
Cambodia,2007,DENV-1,Old-Cambodia,FJ639695
Cambodia,2007,DENV-1,Old-Cambodia,FJ639696
Cambodia,2006,DENV-1,Old-Cambodia,FJ744702
Cambodia,2003,DENV-1,Old-Cambodia,FJ850069
Cambodia,2003,DENV-1,Old-Cambodia,GQ868618
Cambodia,2003,DENV-1,Old-Cambodia,GQ868619
Cambodia,2006,DENV-1,Old-Cambodia,GQ868630
Cambodia,2008,DENV-1,Old-Cambodia,GQ868632
Cambodia,2008,DENV-1,Old-Cambodia,GQ868633
Cambodia,2008,DENV-1,Old-Cambodia,GQ868635
Cambodia,2008,DENV-1,Old-Cambodia,GQ868636
Cambodia,2000,DENV-1,Old-Cambodia,GQ868637
Cambodia,2006,DENV-1,Old-Cambodia,GQ868639
Cambodia,2006,DENV-1,Old-Cambodia,GU131887
Cambodia,2006,DENV-1,Old-Cambodia,GU131888
Cambodia,2006,DENV-1,Old-Cambodia,GU131889
Cambodia,2006,DENV-1,Old-Cambodia,GU131890
Cambodia,2006,DENV-1,Old-Cambodia,GU131891
Cambodia,2006,DENV-1,Old-Cambodia,GU131892
Cambodia,2007,DENV-1,Old-Cambodia,GU131893
Cambodia,2008,DENV-1,Old-Cambodia,GU131894
Cambodia,2009,DENV-1,Old-Cambodia,GU131895
Cambodia,2008,DENV-1,Old-Cambodia,GU131919
Cambodia,2008,DENV-1,Old-Cambodia,GU131920
Cambodia,2008,DENV-1,Old-Cambodia,GU131921
Cambodia,2008,DENV-1,Old-Cambodia,GU131922
Cambodia,2005,DENV-1,Old-Cambodia,GU131923
Cambodia,2006,DENV-1,Old-Cambodia,GU131925
Cambodia,2006,DENV-1,Old-Cambodia,GU131926
Cambodia,2006,DENV-1,Old-Cambodia,HM181936
Cambodia,2006,DENV-1,Old-Cambodia,HM181937
Cambodia,2006,DENV-1,Old-Cambodia,HM181938
Cambodia,2006,DENV-1,Old-Cambodia,HM181939
