"provname","epiyr","biweek","time","cases","year","beta","betalow","betahigh","rsquared","alpha","sus_reconstruction"
"Banteay Meanchey",2007,1,2002,2,2002,8.85555372916643e-05,7.90549481366609e-05,9.89238163744855e-05,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,2,2002.03846153846,2,2002,6.57836446664664e-05,5.80047561315414e-05,7.43347222899787e-05,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,3,2002.07692307692,2,2002,6.76937804589956e-05,5.93214668375027e-05,7.69177584249051e-05,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,4,2002.11538461538,2,2002,0.000185905061950795,0.000169996847632494,0.000202999292668886,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,5,2002.15384615385,16,2002,9.14682431019984e-05,8.31637761420294e-05,0.000100468790381329,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,6,2002.19230769231,25,2002,0.000128148230387509,0.000117542994886524,0.00013958248327484,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,7,2002.23076923077,24,2002,0.00010278914593774,9.41936439539765e-05,0.000112078249296908,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,8,2002.26923076923,2,2002,0.000177233437075801,0.000163913614034881,0.000191550241354435,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,9,2002.30769230769,37,2002,0.000157044729678211,0.000145381435896727,0.000169594463145851,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,10,2002.34615384615,67,2002,0.00023109763334645,0.000213941513973697,0.000249564651266159,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,11,2002.38461538462,65,2002,0.000161320141541153,0.000148459867936554,0.00017524630905895,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,12,2002.42307692308,43,2002,0.000219942360976481,0.000202658349525399,0.000238640257642301,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,13,2002.46153846154,132,2002,0.000248210704992186,0.000227958531495254,0.000270189958253342,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,14,2002.5,119,2002,0.000218252021784243,0.000199539831783857,0.000238646549856815,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,15,2002.53846153846,105,2002,0.000168395754068142,0.000153814797380359,0.000184303412003918,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,16,2002.57692307692,105,2002,0.000185567049041537,0.000169985868434482,0.00020252119249728,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,17,2002.61538461538,59,2002,0.0001678862647548,0.000153893185360477,0.000183103238470605,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,18,2002.65384615385,73,2002,0.0001249275400226,0.000114497589351389,0.000136269793923346,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,19,2002.69230769231,54,2002,0.00014947340649822,0.000137537672619049,0.000162400545366994,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,20,2002.73076923077,60,2002,0.00011705475244982,0.000107626179363918,0.000127270572893339,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,21,2002.76923076923,42,2002,0.000109252517449814,0.000100374147897014,0.000118867736733419,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,22,2002.80769230769,21,2002,0.000108634916946224,9.96974310674051e-05,0.000118310410010869,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,23,2002.84615384615,18,2002,4.92181504201248e-05,4.42151103990517e-05,5.46965534503357e-05,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,24,2002.88461538462,10,2002,0.000126530504865286,0.00011550904018995,0.000138428744487827,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,25,2002.92307692308,10,2002,8.31640433741335e-05,7.52691476734409e-05,9.17440518136959e-05,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,26,2002.96153846154,3,2002,8.70213441712185e-05,7.71932083409253e-05,9.77920000621003e-05,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,1,2003,14,2003,8.85555372916643e-05,7.90549481366609e-05,9.89238163744855e-05,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,2,2003.03846153846,14,2003,6.57836446664664e-05,5.80047561315414e-05,7.43347222899787e-05,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,3,2003.07692307692,10,2003,6.76937804589956e-05,5.93214668375027e-05,7.69177584249051e-05,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,4,2003.11538461538,4,2003,0.000185905061950795,0.000169996847632494,0.000202999292668886,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,5,2003.15384615385,9,2003,9.14682431019984e-05,8.31637761420294e-05,0.000100468790381329,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,6,2003.19230769231,12,2003,0.000128148230387509,0.000117542994886524,0.00013958248327484,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,7,2003.23076923077,19,2003,0.00010278914593774,9.41936439539765e-05,0.000112078249296908,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,8,2003.26923076923,41,2003,0.000177233437075801,0.000163913614034881,0.000191550241354435,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,9,2003.30769230769,19,2003,0.000157044729678211,0.000145381435896727,0.000169594463145851,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,10,2003.34615384615,42,2003,0.00023109763334645,0.000213941513973697,0.000249564651266159,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,11,2003.38461538462,76,2003,0.000161320141541153,0.000148459867936554,0.00017524630905895,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,12,2003.42307692308,107,2003,0.000219942360976481,0.000202658349525399,0.000238640257642301,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,13,2003.46153846154,114,2003,0.000248210704992186,0.000227958531495254,0.000270189958253342,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,14,2003.5,143,2003,0.000218252021784243,0.000199539831783857,0.000238646549856815,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,15,2003.53846153846,144,2003,0.000168395754068142,0.000153814797380359,0.000184303412003918,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,16,2003.57692307692,108,2003,0.000185567049041537,0.000169985868434482,0.00020252119249728,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,17,2003.61538461538,79,2003,0.0001678862647548,0.000153893185360477,0.000183103238470605,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,18,2003.65384615385,52,2003,0.0001249275400226,0.000114497589351389,0.000136269793923346,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,19,2003.69230769231,46,2003,0.00014947340649822,0.000137537672619049,0.000162400545366994,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,20,2003.73076923077,45,2003,0.00011705475244982,0.000107626179363918,0.000127270572893339,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,21,2003.76923076923,34,2003,0.000109252517449814,0.000100374147897014,0.000118867736733419,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,22,2003.80769230769,20,2003,0.000108634916946224,9.96974310674051e-05,0.000118310410010869,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,23,2003.84615384615,7,2003,4.92181504201248e-05,4.42151103990517e-05,5.46965534503357e-05,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,24,2003.88461538462,4,2003,0.000126530504865286,0.00011550904018995,0.000138428744487827,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,25,2003.92307692308,5,2003,8.31640433741335e-05,7.52691476734409e-05,9.17440518136959e-05,0.63,0.732661535040638,"gaussian"
"Banteay Meanchey",2007,26,2003.96153846154,4,2003,8.70213441712185e-05,7.71932083409253e-05,9.77920000621003e-05,0.63,0.732661535040638,"gaussian"
