"year","month","provname","time","cases_per_100000","reconstructed_multi_period","oni_anomaly","avg_wave_coherence_oni","avg_cross_power_oni"
2002,1,"Banteay Meanchey",2002,0.955088890871259,2.90153183599693,-0.15,0.491472428814093,0.622588413252283
2002,2,"Banteay Meanchey",2002.11538461538,2.85930867966451,3.66229420805407,0.03,0.488558235204769,0.645151560537206
2002,3,"Banteay Meanchey",2002.19230769231,7.77471660361728,4.01653035206589,0.09,0.488468113073834,0.66384000939702
2002,4,"Banteay Meanchey",2002.26923076923,6.17712034404738,4.74147366375606,0.2,0.488380763856718,0.687660897337793
2002,5,"Banteay Meanchey",2002.34615384615,20.8840444980157,5.22707758173249,0.43,0.488296144283308,0.701151337893518
2002,6,"Banteay Meanchey",2002.42307692308,27.6423630027503,5.84006449952873,0.65,0.488214218318033,0.726015720000988
2002,7,"Banteay Meanchey",2002.5,35.3388674971724,5.95060612702893,0.79,0.488134957327684,0.746515954359609
2002,8,"Banteay Meanchey",2002.57692307692,25.8381760195045,6.15233343642643,0.86,0.488058340020597,0.767383852932418
2002,9,"Banteay Meanchey",2002.65384615385,19.9793760528189,6.2207057965941,1.01,0.487984352138363,0.794250662973476
2002,10,"Banteay Meanchey",2002.73076923077,16.0237398203077,6.14543305351728,1.21,0.487912985885941,0.809010095739439
2002,11,"Banteay Meanchey",2002.80769230769,6.11779884982077,5.8349842879853,1.31,0.487844239091669,0.83700520967504
2002,12,"Banteay Meanchey",2002.88461538462,3.60221354497468,5.48794692079544,1.14,0.487778114094827,0.859915777019385
2003,1,"Banteay Meanchey",2003,5.93824189632858,4.99665089289069,0.92,0.48771461636518,0.889361808657345
2003,2,"Banteay Meanchey",2003.11538461538,2.02772675612695,4.59909166687836,0.63,0.487653752866029,0.91342890209865
2003,3,"Banteay Meanchey",2003.19230769231,4.82918505064964,3.82895689783612,0.38,0.487595530179674,0.935917779601665
2003,4,"Banteay Meanchey",2003.26923076923,9.33625270377289,2.8966335814062,-0.04,0.487539952421553,0.961073666155149
2003,5,"Banteay Meanchey",2003.34615384615,18.3330110407127,1.93301059752757,-0.26,0.487487018976512,0.993224672636946
2003,6,"Banteay Meanchey",2003.42307692308,34.2930678572013,0.765509590730313,-0.16,0.487436722097508,1.01963981859182
2003,7,"Banteay Meanchey",2003.5,44.4760457198592,-0.5164052815352,0.08,0.487389044413199,1.0533415234586
2003,8,"Banteay Meanchey",2003.57692307692,28.9424636470543,-1.70648018485245,0.21,0.487343956396344,1.07144360794772
2003,9,"Banteay Meanchey",2003.65384615385,15.1472637546986,-2.93193922330872,0.26,0.487301413849294,1.1063895775156
2003,10,"Banteay Meanchey",2003.73076923077,12.1948020879815,-4.28509785870154,0.29,0.487261355466077,1.13532695966132
2003,11,"Banteay Meanchey",2003.80769230769,4.16283676630463,-5.58884102341306,0.35,0.487223700532504,1.16485683162899
2003,12,"Banteay Meanchey",2003.88461538462,2.00072731393907,-6.885835558371,0.35,0.487188346826132,1.19148291515047
2004,1,"Banteay Meanchey",2004,0.921624652659023,-8.40165866292651,0.37,0.487155168776863,1.22227564980693
2004,2,"Banteay Meanchey",2004.11538461538,0.76686092117829,-9.95199074924644,0.31,0.487124015946297,1.25369273494844
2004,3,"Banteay Meanchey",2004.19230769231,0.919115307644676,-11.450142436779,0.23,0.487094711879727,1.28574465401326
2004,4,"Banteay Meanchey",2004.26923076923,2.14130303616274,-12.6083578961738,0.17,0.484268116543219,1.31843840053094
2004,5,"Banteay Meanchey",2004.34615384615,1.9858818040371,-13.9319907757946,0.17,0.484241639250291,1.35177707234072
2004,6,"Banteay Meanchey",2004.42307692308,3.35708275229334,-15.1278271527705,0.28,0.484216314080522,1.38575955669639
2004,7,"Banteay Meanchey",2004.5,3.8097641689473,-15.9487245954826,0.47,0.484191859108262,1.41260067034307
2004,8,"Banteay Meanchey",2004.57692307692,4.56602829334193,-17.0650302937986,0.64,0.484167967774112,1.44776257097534
2004,9,"Banteay Meanchey",2004.65384615385,3.19283151001122,-17.7966974123104,0.7,0.484144310680646,1.4755675148957
2004,10,"Banteay Meanchey",2004.73076923077,2.58151666299652,-18.3151015742115,0.67,0.484120537905109,1.50379360902055
2004,11,"Banteay Meanchey",2004.80769230769,0.909779176407725,-18.9078248948178,0.66,0.484096281806824,1.52427511307779
2004,12,"Banteay Meanchey",2004.88461538462,1.21118736761651,-18.8916224499394,0.69,0.484071160295475,1.56137210711171
2005,1,"Banteay Meanchey",2005,0.906782328893591,-19.0818960689072,0.64,0.484044780515314,1.59893970428173
2005,2,"Banteay Meanchey",2005.11538461538,1.50872769707298,-18.6907415852815,0.58,0.484016742889952,1.64539323663297
2005,3,"Banteay Meanchey",2005.19230769231,1.50689313817318,-18.0333569626833,0.45,0.483986645463066,1.68390178883253
2005,4,"Banteay Meanchey",2005.26923076923,2.40835685305807,-17.1109940026428,0.43,0.483954088462333,1.73147109210133
2005,5,"Banteay Meanchey",2005.34615384615,13.0787670972677,-16.0070778164031,0.29,0.48391867900739,1.77077187283895
2005,6,"Banteay Meanchey",2005.42307692308,17.7185664603666,-14.6073167870443,0.11,0.483880035877901,1.81033134691734
2005,7,"Banteay Meanchey",2005.5,60.7419405352181,-13.1004697876473,-0.06,0.481045180118533,1.8592484154499
2005,8,"Banteay Meanchey",2005.57692307692,49.5863248229623,-11.266562281145,-0.14,0.480998919811477,1.89933273264261
2005,9,"Banteay Meanchey",2005.65384615385,24.0894859407855,-9.40712387569476,-0.11,0.480948416451676,1.9489945159999
2005,10,"Banteay Meanchey",2005.73076923077,7.32300783618616,-7.20665736755676,-0.29,0.480893382453708,1.98940869361246
2005,11,"Banteay Meanchey",2005.80769230769,5.52274307291343,-4.84485716168328,-0.57,0.480833563429041,2.03963937724777
