"provname","llik_FOI","llik_age","llik_sigma","llik_sigma_age","AIC_FOI","AIC_age","AIC_sigma","AIC_sigma_age"
"Banteay Meanchey",12697.0517675648,7951.79347624173,7990.9317490456,5100.85412623485,25466.1035351296,16013.5869524835,16091.8634980912,10349.7082524697
"Battambang",4560.03153687879,3042.66027977405,3474.27162570539,2544.81340476505,9188.06307375758,6191.32055954811,7054.54325141077,5233.6268095301
"Kampong Cham",6788.00240527049,3998.28409732248,5909.91488755076,3619.64045464055,13642.004810541,8100.56819464497,11923.8297751015,7381.2809092811
"Kampong Chhnang",3492.57968133642,2468.65442953759,2963.00245590365,2305.3595679138,7051.15936267284,5041.30885907518,6030.00491180729,4752.7191358276
"Kampong Speu",4829.62341186676,3405.23316015822,3469.2996538444,2505.48196058788,9725.24682373352,6914.46632031643,7042.59930768879,5152.96392117575
"Kampong Thom",6571.3444852336,4036.22595279722,5730.13351468091,4023.72958598488,13216.6889704672,8184.45190559444,11572.2670293618,8197.45917196976
"Kampot",2574.98354124471,1832.1199473963,2167.67645160836,1723.43932784642,5225.96708248942,3778.2398947926,4449.35290321673,3598.87865569284
"Kandal",10511.5424822955,6766.77314155828,9342.85493562265,6306.85884986917,21091.084964591,13639.5462831166,18791.7098712453,12757.7176997383
"Kep",617.67881935104,556.340351424516,596.982627403277,550.474546776323,1301.35763870208,1216.68070284903,1297.96525480655,1242.94909355265
"Koh Kong",1201.22995252361,1094.29044638774,1105.13686552229,1051.66026597136,2464.45990504722,2288.58089277548,2310.27373104458,2241.32053194271
"Kratie",2446.81687210163,1965.15835694235,1698.22801715696,1506.34375021382,4967.63374420326,4042.31671388471,3508.45603431392,3162.68750042765
"Mondul Kiri",1079.02689368289,1819.69380905071,1067.0063651209,1842.82090426427,2222.05378736578,3741.38761810142,2236.0127302418,3825.64180852854
"National",143121.45030852,70099.9817559829,80665.9070605555,37203.8429159538,286322.90061704,140317.963511966,161449.814121111,74563.6858319076
"Otdar Meanchey",2554.17919450292,1817.11763194154,2058.66692250743,1537.88744010854,5168.35838900584,3732.23526388308,4215.33384501485,3211.77488021708
"Pailin",1277.56968736837,1262.36838368916,1163.74571090609,1155.5865023926,2605.13937473674,2612.73676737831,2415.49142181218,2437.17300478519
"Phnom Penh",10666.6687831678,8440.59072940303,12889.2207896146,10910.3779748132,21405.3375663356,16991.1814588061,25888.4415792293,21968.7559496263
"Preah Sihanouk",9877.78522246471,8253.44703473545,9407.11229813701,7950.15195680888,19817.5704449294,16606.8940694709,18914.224596274,16038.3039136178
"Preah Vihear",4499.55498896175,3893.77611687095,3623.43075292517,3360.13913821341,9063.1099779235,7889.55223374189,7348.86150585035,6860.27827642682
"Prey Veng",4680.48411218648,3056.9259619819,4393.06914517567,3041.71758613329,9432.96822437296,6223.85192396381,8896.13829035133,6231.43517226658
"Pursat",2018.59751225937,1720.25043442011,1728.06398422837,1537.29906283331,4101.19502451874,3542.50086884023,3558.12796845675,3214.59812566661
"Ratanak Kiri",1861.75206005279,1844.82034656512,1755.92045383624,1772.05325362551,3779.50412010558,3783.64069313025,3605.84090767248,3676.10650725101
"Siem Reap",14191.5388200176,5491.21729585228,11390.569859619,4633.30724886818,28451.0776400352,11088.4345917046,22887.1397192381,9410.61449773636
"Stung Treng",1374.78465271121,1253.82320001093,1097.37021960651,1120.49382158103,2815.56930542242,2611.64640002186,2298.74043921303,2382.98764316207
"Svay Rieng",6700.20795569441,5246.3364483905,5879.61938859322,4747.74040198641,13466.4159113888,10596.672896781,11863.2387771864,9637.48080397281
"Takeo",3884.01407618755,2768.09367441864,3532.97377348783,2642.10952022123,7848.0281523751,5654.18734883729,7183.94754697566,5440.21904044246
"Tboung Khmum",3488.99902412224,6662.07975657636,3045.97606694671,6614.8117297784,7087.99804824448,13472.1595131527,6239.95213389343,13415.6234595568
