"year","corr","provname","comp_prov","full_ts_corr","dist_m","dist_km","dist_from_PP_m","dist_from_PP_km"
2002,0.672951779939835,"Banteay Meanchey","Battambang",0.804022314570421,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2003,0.768576309738314,"Banteay Meanchey","Battambang",0.804022314570421,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2004,0.763170572528627,"Banteay Meanchey","Battambang",0.804022314570421,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2005,0.912947552612236,"Banteay Meanchey","Battambang",0.804022314570421,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2006,0.592348645721141,"Banteay Meanchey","Battambang",0.804022314570421,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2007,0.827766397409405,"Banteay Meanchey","Battambang",0.804022314570421,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2008,0.520972236905411,"Banteay Meanchey","Battambang",0.804022314570421,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2009,0.525199803202027,"Banteay Meanchey","Battambang",0.804022314570421,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2010,0.938547664896308,"Banteay Meanchey","Battambang",0.804022314570421,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2011,0.812861814527584,"Banteay Meanchey","Battambang",0.804022314570421,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2012,0.858280618367019,"Banteay Meanchey","Battambang",0.804022314570421,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2013,0.675835511806194,"Banteay Meanchey","Battambang",0.804022314570421,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2014,0.54726832054816,"Banteay Meanchey","Battambang",0.804022314570421,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2015,0.939651272719263,"Banteay Meanchey","Battambang",0.804022314570421,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2016,0.807461410226941,"Banteay Meanchey","Battambang",0.804022314570421,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2017,0.864671162186105,"Banteay Meanchey","Battambang",0.804022314570421,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2018,0.920965442489774,"Banteay Meanchey","Battambang",0.804022314570421,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2019,0.955499384887103,"Banteay Meanchey","Battambang",0.804022314570421,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2020,0.880652655514217,"Banteay Meanchey","Battambang",0.804022314570421,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2002,0.817006574626045,"Banteay Meanchey","Kampong Cham",0.756847313803379,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2003,0.935439624254661,"Banteay Meanchey","Kampong Cham",0.756847313803379,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2004,0.731766967000973,"Banteay Meanchey","Kampong Cham",0.756847313803379,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2005,0.965887679411575,"Banteay Meanchey","Kampong Cham",0.756847313803379,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2006,0.820011733829548,"Banteay Meanchey","Kampong Cham",0.756847313803379,296753.118377888,296.753118377888,312253.511127179,312.253511127179
