"provname","year","biwk","temp_K","temp_C"
"Preah Sihanouk",2002,5,299.6031594,26.4531594
"Preah Sihanouk",2002,6,300.931677535714,27.7816775357143
"Preah Sihanouk",2002,7,300.776061828571,27.6260618285714
"Preah Sihanouk",2002,8,300.858028657143,27.7080286571429
"Preah Sihanouk",2002,9,301.436388507143,28.2863885071429
"Preah Sihanouk",2002,10,300.63091845,27.48091845
"Preah Sihanouk",2002,11,300.183240078571,27.0332400785715
"Preah Sihanouk",2002,12,300.159944742857,27.0099447428572
"Preah Sihanouk",2002,13,299.382922064286,26.2329220642857
"Preah Sihanouk",2002,14,300.215865685714,27.0658656857143
"Preah Sihanouk",2002,15,299.902730357143,26.7527303571429
"Preah Sihanouk",2002,16,299.133913371429,25.9839133714286
"Preah Sihanouk",2002,17,299.081068,25.931068
"Preah Sihanouk",2002,18,299.495084992857,26.3450849928572
"Preah Sihanouk",2002,19,298.909925842857,25.7599258428572
"Preah Sihanouk",2002,20,299.628535114286,26.4785351142858
"Preah Sihanouk",2002,21,300.367142707143,27.2171427071429
"Preah Sihanouk",2002,22,299.716124578571,26.5661245785715
"Preah Sihanouk",2002,23,300.127115992857,26.9771159928572
"Preah Sihanouk",2002,24,300.135646442857,26.9856464428572
"Preah Sihanouk",2002,25,300.358751257143,27.2087512571429
"Preah Sihanouk",2002,26,300.31827306,27.16827306
"Preah Vihear",2002,1,296.614272871429,23.4642728714286
"Preah Vihear",2002,2,300.188847207143,27.0388472071429
"Preah Vihear",2002,3,299.920707971429,26.7707079714286
"Preah Vihear",2002,4,301.367979607143,28.2179796071429
"Preah Vihear",2002,5,301.950692157143,28.8006921571429
"Preah Vihear",2002,6,303.830055421429,30.6800554214286
"Preah Vihear",2002,7,303.112824828571,29.9628248285715
"Preah Vihear",2002,8,302.215264335714,29.0652643357143
"Preah Vihear",2002,9,302.41850245,29.26850245
"Preah Vihear",2002,10,301.8277215,28.6777215
"Preah Vihear",2002,11,301.469913178571,28.3199131785715
"Preah Vihear",2002,12,301.401250014286,28.2512500142857
"Preah Vihear",2002,13,300.662124764286,27.5121247642857
"Preah Vihear",2002,14,301.399182478571,28.2491824785715
"Preah Vihear",2002,15,300.9249797,27.7749797
"Preah Vihear",2002,16,300.491544485714,27.3415444857143
"Preah Vihear",2002,17,299.017008614286,25.8670086142857
"Preah Vihear",2002,18,299.635686935714,26.4856869357143
"Preah Vihear",2002,19,298.991411292857,25.8414112928572
"Preah Vihear",2002,20,300.170805235714,27.0208052357143
"Preah Vihear",2002,21,299.973105142857,26.8231051428572
"Preah Vihear",2002,22,299.776998535714,26.6269985357143
"Preah Vihear",2002,23,299.863212707143,26.7132127071429
"Preah Vihear",2002,24,300.141871235714,26.9918712357143
"Preah Vihear",2002,25,300.830167321429,27.6801673214286
"Preah Vihear",2002,26,301.022580553333,27.8725805533334
"Prey Veng",2002,1,299.343535307143,26.1935353071429
"Prey Veng",2002,2,302.172361992857,29.0223619928572
"Prey Veng",2002,3,301.455678485714,28.3056784857143
"Prey Veng",2002,4,302.199139907143,29.0491399071429
"Prey Veng",2002,5,302.882386092857,29.7323860928572
"Prey Veng",2002,6,304.42839145,31.27839145
"Prey Veng",2002,7,304.969639671429,31.8196396714286
"Prey Veng",2002,8,304.247243471429,31.0972434714286
"Prey Veng",2002,9,305.406464671429,32.2564646714286
"Prey Veng",2002,10,304.298039207143,31.1480392071429
"Prey Veng",2002,11,303.417927914286,30.2679279142857
"Prey Veng",2002,12,302.92394345,29.77394345
"Prey Veng",2002,13,301.58281835,28.43281835
"Prey Veng",2002,14,303.090566735714,29.9405667357143
"Prey Veng",2002,15,303.105303007143,29.9553030071429
"Prey Veng",2002,16,302.250593392857,29.1005933928571
"Prey Veng",2002,17,300.319913828571,27.1699138285715
"Prey Veng",2002,18,301.581728614286,28.4317286142857
"Prey Veng",2002,19,300.7259004,27.5759004
"Prey Veng",2002,20,301.404536978571,28.2545369785714
"Prey Veng",2002,21,301.602058707143,28.4520587071429
"Prey Veng",2002,22,300.93291685,27.78291685
"Prey Veng",2002,23,300.917842492857,27.7678424928571
"Prey Veng",2002,24,300.790435035714,27.6404350357143
"Prey Veng",2002,25,301.240406207143,28.0904062071428
"Prey Veng",2002,26,301.849334426667,28.6993344266667
"Pursat",2002,1,296.821350871429,23.6713508714286
"Pursat",2002,2,299.864985528571,26.7149855285714
"Pursat",2002,3,299.603438707143,26.4534387071429
"Pursat",2002,4,300.498704485714,27.3487044857143
"Pursat",2002,5,299.792408721429,26.6424087214286
"Pursat",2002,6,301.952506292857,28.8025062928572
"Pursat",2002,7,301.888048321429,28.7380483214286
"Pursat",2002,8,300.508851028571,27.3588510285715
"Pursat",2002,9,300.989371521429,27.8393715214286
"Pursat",2002,10,301.07640555,27.92640555
"Pursat",2002,11,301.012205092857,27.8622050928572
"Pursat",2002,12,301.315656564286,28.1656565642857
"Pursat",2002,13,300.263784128571,27.1137841285715
"Pursat",2002,14,301.542383021429,28.3923830214286
"Pursat",2002,15,301.23049635,28.08049635
"Pursat",2002,16,300.585381835714,27.4353818357143
"Pursat",2002,17,299.283914064286,26.1339140642858
"Pursat",2002,18,300.116378621429,26.9663786214286
"Pursat",2002,19,299.209486528571,26.0594865285715
"Pursat",2002,20,299.634352221429,26.4843522214286
"Pursat",2002,21,300.308476385714,27.1584763857143
"Pursat",2002,22,299.263567942857,26.1135679428572
"Pursat",2002,23,299.459106657143,26.3091066571429
"Pursat",2002,24,299.828188171429,26.6781881714286
"Pursat",2002,25,300.25747255,27.10747255
"Pursat",2002,26,300.407779306667,27.2577793066667
"Ratanak Kiri",2002,1,296.794777564286,23.6447775642857
"Ratanak Kiri",2002,2,300.035647528571,26.8856475285714
"Ratanak Kiri",2002,3,299.232765935714,26.0827659357143
"Ratanak Kiri",2002,4,300.313753314286,27.1637533142857
"Ratanak Kiri",2002,5,301.401013935714,28.2510139357143
"Ratanak Kiri",2002,6,303.131716371429,29.9817163714286
"Ratanak Kiri",2002,7,302.850838014286,29.7008380142858
