"provname","year","biwk","precip_m","precip_mm"
"Kep",2002,19,0.114491,114.491
"Kep",2002,20,0.1402019,140.2019
"Kep",2002,21,0.0370091,37.0091
"Kep",2002,22,0.0870106770354,87.0106770354
"Kep",2002,23,0.046465212766,46.465212766
"Kep",2002,24,0.051129,51.129
"Kep",2002,25,0.0169566051273,16.9566051273
"Kep",2002,26,0.0349541,34.9541
"Koh Kong",2002,1,0.0007348293706015,0.7348293706015
"Koh Kong",2002,2,0.0085495454412,8.5495454412
"Koh Kong",2002,3,0.0130841,13.0841
"Koh Kong",2002,4,0.0216281,21.6281
"Koh Kong",2002,5,0.0710517,71.0517
"Koh Kong",2002,6,0.0365307,36.5307
"Koh Kong",2002,7,0.07265,72.65
"Koh Kong",2002,8,0.113049,113.049
"Koh Kong",2002,9,0.1259586,125.9586
"Koh Kong",2002,10,0.1529728,152.9728
"Koh Kong",2002,11,0.1551978,155.1978
"Koh Kong",2002,12,0.1434401,143.4401
"Koh Kong",2002,13,0.2210308,221.0308
"Koh Kong",2002,14,0.1654931,165.4931
"Koh Kong",2002,15,0.1294118,129.4118
"Koh Kong",2002,16,0.254911,254.911
"Koh Kong",2002,17,0.2622865,262.2865
"Koh Kong",2002,18,0.1818605,181.8605
"Koh Kong",2002,19,0.2409311,240.9311
"Koh Kong",2002,20,0.1659834,165.9834
"Koh Kong",2002,21,0.05019109148542,50.19109148542
"Koh Kong",2002,22,0.1194202,119.4202
"Koh Kong",2002,23,0.0487434840893,48.7434840893
"Koh Kong",2002,24,0.0635239,63.5239
"Koh Kong",2002,25,0.0259322351197,25.9322351197
"Koh Kong",2002,26,0.0385773,38.5773
"Kratie",2002,1,9.739675131e-07,0.0009739675131
"Kratie",2002,2,2.161426829757e-05,0.02161426829757
"Kratie",2002,3,2.87159806787e-06,0.00287159806787
"Kratie",2002,4,5.4737966281e-05,0.054737966281
"Kratie",2002,5,0.0001747737285171,0.1747737285171
"Kratie",2002,6,0.017444282186222,17.444282186222
"Kratie",2002,7,0.01974987764202,19.74987764202
"Kratie",2002,8,0.03828674996315,38.28674996315
"Kratie",2002,9,0.0638806,63.8806
"Kratie",2002,10,0.0431044,43.1044
"Kratie",2002,11,0.1191883,119.1883
"Kratie",2002,12,0.1145111,114.5111
"Kratie",2002,13,0.1846709,184.6709
"Kratie",2002,14,0.0728441,72.8441
"Kratie",2002,15,0.0794855,79.4855
