"year","corr","provname","comp_prov","full_ts_corr","dist_m","dist_km","dist_from_PP_m","dist_from_PP_km"
2002,NA,"Banteay Meanchey","Battambang",0.767849370589541,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2003,NA,"Banteay Meanchey","Battambang",0.767849370589541,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2004,NA,"Banteay Meanchey","Battambang",0.767849370589541,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2005,0.16369567616977,"Banteay Meanchey","Battambang",0.767849370589541,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2006,0.974616432767663,"Banteay Meanchey","Battambang",0.767849370589541,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2007,0.967831922828258,"Banteay Meanchey","Battambang",0.767849370589541,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2008,0.929291304213742,"Banteay Meanchey","Battambang",0.767849370589541,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2009,NA,"Banteay Meanchey","Battambang",0.767849370589541,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2010,0.824506223504967,"Banteay Meanchey","Battambang",0.767849370589541,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2011,0.990507526379729,"Banteay Meanchey","Battambang",0.767849370589541,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2012,0.86451228226203,"Banteay Meanchey","Battambang",0.767849370589541,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2013,0.970979924952283,"Banteay Meanchey","Battambang",0.767849370589541,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2014,0.948427410176071,"Banteay Meanchey","Battambang",0.767849370589541,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2015,0.759547211526204,"Banteay Meanchey","Battambang",0.767849370589541,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2016,0.967504168367769,"Banteay Meanchey","Battambang",0.767849370589541,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2017,0.949358508350441,"Banteay Meanchey","Battambang",0.767849370589541,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2018,0.954825114767438,"Banteay Meanchey","Battambang",0.767849370589541,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2019,0.960343336222944,"Banteay Meanchey","Battambang",0.767849370589541,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2020,0.902297140463585,"Banteay Meanchey","Battambang",0.767849370589541,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
2002,0.966560479195564,"Banteay Meanchey","Kampong Cham",0.80058761797491,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2003,0.962765774106119,"Banteay Meanchey","Kampong Cham",0.80058761797491,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2004,0.953697714697934,"Banteay Meanchey","Kampong Cham",0.80058761797491,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2005,0.988633885504397,"Banteay Meanchey","Kampong Cham",0.80058761797491,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2006,0.917020646425687,"Banteay Meanchey","Kampong Cham",0.80058761797491,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2007,0.975418674363896,"Banteay Meanchey","Kampong Cham",0.80058761797491,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2008,0.979624305663135,"Banteay Meanchey","Kampong Cham",0.80058761797491,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2009,0.858649647528622,"Banteay Meanchey","Kampong Cham",0.80058761797491,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2010,0.955133916229814,"Banteay Meanchey","Kampong Cham",0.80058761797491,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2011,0.975169703651858,"Banteay Meanchey","Kampong Cham",0.80058761797491,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2012,0.91320360903202,"Banteay Meanchey","Kampong Cham",0.80058761797491,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2013,0.880236031193479,"Banteay Meanchey","Kampong Cham",0.80058761797491,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2014,-0.396497634152706,"Banteay Meanchey","Kampong Cham",0.80058761797491,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2015,0.787412640460614,"Banteay Meanchey","Kampong Cham",0.80058761797491,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2016,0.927480045683838,"Banteay Meanchey","Kampong Cham",0.80058761797491,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2017,NA,"Banteay Meanchey","Kampong Cham",0.80058761797491,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2018,0.962689022532914,"Banteay Meanchey","Kampong Cham",0.80058761797491,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2019,0.912662353007333,"Banteay Meanchey","Kampong Cham",0.80058761797491,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2020,0.986465242064938,"Banteay Meanchey","Kampong Cham",0.80058761797491,296753.118377888,296.753118377888,312253.511127179,312.253511127179
2002,NA,"Banteay Meanchey","Kampong Chhnang",0.802135796715054,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2003,0.450155185369806,"Banteay Meanchey","Kampong Chhnang",0.802135796715054,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2004,0.89123972913415,"Banteay Meanchey","Kampong Chhnang",0.802135796715054,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2005,0.854758260667287,"Banteay Meanchey","Kampong Chhnang",0.802135796715054,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2006,0.948601744851603,"Banteay Meanchey","Kampong Chhnang",0.802135796715054,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2007,0.830361089642235,"Banteay Meanchey","Kampong Chhnang",0.802135796715054,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2008,0.907242986724386,"Banteay Meanchey","Kampong Chhnang",0.802135796715054,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2009,0.473913120693621,"Banteay Meanchey","Kampong Chhnang",0.802135796715054,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2010,0.990653602747673,"Banteay Meanchey","Kampong Chhnang",0.802135796715054,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2011,0.94376539704964,"Banteay Meanchey","Kampong Chhnang",0.802135796715054,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2012,0.867300539488948,"Banteay Meanchey","Kampong Chhnang",0.802135796715054,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2013,0.877582594744504,"Banteay Meanchey","Kampong Chhnang",0.802135796715054,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2014,-0.419051029354456,"Banteay Meanchey","Kampong Chhnang",0.802135796715054,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2015,0.732240693197857,"Banteay Meanchey","Kampong Chhnang",0.802135796715054,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2016,0.871493376083631,"Banteay Meanchey","Kampong Chhnang",0.802135796715054,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2017,-0.447599177962233,"Banteay Meanchey","Kampong Chhnang",0.802135796715054,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2018,0.749455404441809,"Banteay Meanchey","Kampong Chhnang",0.802135796715054,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2019,0.953100013001157,"Banteay Meanchey","Kampong Chhnang",0.802135796715054,240355.202030747,240.355202030747,312253.511127179,312.253511127179
2020,0.835063816346373,"Banteay Meanchey","Kampong Chhnang",0.802135796715054,240355.202030747,240.355202030747,312253.511127179,312.253511127179
