"time","cases","births","pop","year","biweek","provname","model_predicted_absolute_cases","model_predicted_absolute_cases_lci","model_predicted_absolute_cases_uci","model_predicted_reported_cases","model_predicted_reported_cases_lci","model_predicted_reported_cases_uci","sim_type"
2002,2,646.907645745235,627760.9371618,2002,1,"Banteay Meanchey",2,2,2,0.0879022752030896,0.0879022752030896,0.0879022752030896,"TSIR-fit"
2002.03846153846,2,647.03293551863,628213.995344026,2002,2,"Banteay Meanchey",5.23,5.18,5.38,0.229864449656079,0.227666892776002,0.236457120296311,"TSIR-fit"
2002.07692307692,2,647.158225292025,628667.053526253,2002,3,"Banteay Meanchey",7.81,6.92,8.68,0.343258384668065,0.30414187220269,0.381495874381409,"TSIR-fit"
2002.11538461538,2,647.28351506542,629120.111708479,2002,4,"Banteay Meanchey",10.83,8.25,12.27,0.47599082022473,0.362596885212745,0.539280458370955,"TSIR-fit"
2002.15384615385,16,647.408804838815,629573.169890705,2002,5,"Banteay Meanchey",39.92,30.19,46.98,1.75452941305367,1.32688484419064,2.06482444452057,"TSIR-fit"
2002.19230769231,25,647.534094612211,630026.228072932,2002,6,"Banteay Meanchey",47.95,34.21,61.24,2.10745704799407,1.50356841734885,2.6915676667186,"TSIR-fit"
2002.23076923077,24,647.659384385606,630479.286255158,2002,7,"Banteay Meanchey",83.57,58.17,102.95,3.6729965693611,2.55663767428186,4.52476961607904,"TSIR-fit"
2002.26923076923,2,647.784674159001,630932.344437385,2002,8,"Banteay Meanchey",98.15,69.5,127.11,4.31380415559162,3.05460406330736,5.58662910053236,"TSIR-fit"
2002.30769230769,37,647.909963932396,631385.402619611,2002,9,"Banteay Meanchey",198.49,139.39,258.76,8.72386130253063,6.12634907027933,11.3727963657757,"TSIR-fit"
2002.34615384615,67,648.035253705791,631838.460801837,2002,10,"Banteay Meanchey",295.71,210.75,390.51,12.9967909001528,9.26270224952557,17.1633587447793,"TSIR-fit"
2002.38461538462,65,648.160543479186,632291.518984064,2002,11,"Banteay Meanchey",601.36,420.22,773.51,26.430456108065,18.4691470429212,33.9966444461709,"TSIR-fit"
2002.42307692308,43,648.285833252581,632744.57716629,2002,12,"Banteay Meanchey",692.89,482.07,895.71,30.4533037327344,21.1875249035767,39.3674734610797,"TSIR-fit"
2002.46153846154,132,648.411123025976,633197.635348516,2002,13,"Banteay Meanchey",1050.66,721.99,1354.1,46.1777022324391,31.7322818369393,59.5142354262518,"TSIR-fit"
2002.5,119,648.536412799372,633650.693530743,2002,14,"Banteay Meanchey",1579.47,1102.41,2029.78,69.419503307512,48.452173603319,89.2111400808636,"TSIR-fit"
2002.53846153846,105,648.661702572767,634103.751712969,2002,15,"Banteay Meanchey",1816.4,1288.64,2312.58,79.832846339446,56.6371939588547,101.64052179458,"TSIR-fit"
2002.57692307692,105,648.786992346162,634556.809895196,2002,16,"Banteay Meanchey",1506.9,1089.31,1866.9,66.2299692517679,47.8764137007388,82.052378788324,"TSIR-fit"
2002.61538461538,59,648.912282119557,635009.868077422,2002,17,"Banteay Meanchey",1401.48,1053.45,1677.69,61.596640325813,46.3003259063474,73.7363840427357,"TSIR-fit"
