"seas","year","total","oni_anomaly","month"
"JFM",2016,29.01,2.14,2
"FMA",2016,28.88,1.58,3
"MAM",2016,28.62,0.94,4
"AMJ",2016,28.22,0.39,5
"MJJ",2016,27.59,-0.07,6
"JJA",2016,26.93,-0.36,7
"JAS",2016,26.42,-0.54,8
"ASO",2016,26.14,-0.63,9
"SON",2016,26.02,-0.69,10
"OND",2016,26.01,-0.67,11
"NDJ",2016,26.06,-0.56,12
"DJF",2017,26.3,-0.34,1
"JFM",2017,26.71,-0.16,2
"FMA",2017,27.35,0.05,3
"MAM",2017,27.89,0.2,4
"AMJ",2017,28.13,0.3,5
"MJJ",2017,27.97,0.31,6
"JJA",2017,27.43,0.14,7
"JAS",2017,26.84,-0.11,8
"ASO",2017,26.38,-0.38,9
"SON",2017,26.06,-0.65,10
"OND",2017,25.84,-0.84,11
"NDJ",2017,25.64,-0.97,12
"DJF",2018,25.72,-0.92,1
"JFM",2018,26.02,-0.85,2
"FMA",2018,26.6,-0.7,3
"MAM",2018,27.18,-0.5,4
"AMJ",2018,27.61,-0.22,5
"MJJ",2018,27.64,-0.01,6
"JJA",2018,27.38,0.09,7
"JAS",2018,27.18,0.23,8
"ASO",2018,27.25,0.49,9
"SON",2018,27.47,0.76,10
"OND",2018,27.57,0.9,11
"NDJ",2018,27.43,0.81,12
"DJF",2019,27.39,0.75,1
"JFM",2019,27.59,0.72,2
"FMA",2019,28.01,0.71,3
"MAM",2019,28.34,0.66,4
"AMJ",2019,28.37,0.54,5
"MJJ",2019,28.1,0.45,6
"JJA",2019,27.57,0.28,7
"JAS",2019,27.1,0.14,8
"ASO",2019,26.95,0.19,9
"SON",2019,27.06,0.35,10
"OND",2019,27.18,0.51,11
"NDJ",2019,27.17,0.55,12
"DJF",2020,27.14,0.5,1
"JFM",2020,27.35,0.48,2
"FMA",2020,27.7,0.4,3
"MAM",2020,27.87,0.19,4
"AMJ",2020,27.75,-0.08,5
"MJJ",2020,27.35,-0.3,6
"JJA",2020,26.88,-0.41,7
"JAS",2020,26.38,-0.57,8
"ASO",2020,25.87,-0.89,9
"SON",2020,25.54,-1.17,10
"OND",2020,25.4,-1.27,11
"NDJ",2020,25.43,-1.19,12
"DJF",2021,25.59,-1.05,1
"JFM",2021,25.94,-0.93,2
"FMA",2021,26.46,-0.84,3
"MAM",2021,27.03,-0.66,4
"AMJ",2021,27.35,-0.48,5
"MJJ",2021,27.28,-0.38,6
"JJA",2021,26.89,-0.4,7
"JAS",2021,26.46,-0.49,8
"ASO",2021,26.09,-0.67,9
"SON",2021,25.9,-0.81,10
"OND",2021,25.69,-0.98,11
"NDJ",2021,25.63,-0.98,12
"DJF",2022,25.67,-0.97,1
"JFM",2022,25.94,-0.93,2
"FMA",2022,26.31,-0.99,3
"MAM",2022,26.62,-1.06,4
"AMJ",2022,26.84,-0.99,5
"MJJ",2022,26.8,-0.85,6
"JJA",2022,26.48,-0.81,7
"JAS",2022,26.04,-0.91,8
"ASO",2022,25.75,-1.01,9
"SON",2022,25.72,-0.99,10
"OND",2022,25.76,-0.92,11
"NDJ",2022,25.8,-0.82,12
"DJF",2023,25.96,-0.67,1
"JFM",2023,26.44,-0.43,2
"FMA",2023,27.15,-0.14,3
"MAM",2023,27.85,0.16,4
"AMJ",2023,28.31,0.48,5
"MJJ",2023,28.42,0.77,6
