"provname","regtype","AIC","rsquared","Prop_Susceptible","epiyr"
"Stung Treng","gaussian",1172.01951517932,0.71,1,2012
"Svay Rieng","lm",15516.836677581,0.44,27,2012
"Svay Rieng","gaussian",10073.7850127373,0.35,1,2012
"Takeo","lm",8794.90848511737,0.57,11,2012
"Takeo","gaussian",13824.6729941829,0.47,1.6,2012
"Banteay Meanchey","lm",14622.473190142,0.42,8.4,2019
"Banteay Meanchey","gaussian",15765.2799453863,0.8,10,2019
"Battambang","lm",20392.5313849856,0.41,7.6,2019
"Battambang","gaussian",22445.9778265797,0.71,6.5,2019
"Kampong Cham","lm",21773.0786629361,0.57,12,2019
"Kampong Cham","gaussian",21662.6268873426,0.58,7.6,2019
"Kampong Chhnang","lm",10969.2810545761,0.34,6.7,2019
"Kampong Chhnang","gaussian",10888.8528139262,0.48,4.8,2019
"Kampong Speu","lm",16704.9424929396,0.56,16,2019
"Kampong Speu","gaussian",15023.3021798086,0.34,2,2019
"Kampong Thom","lm",13878.6679945887,0.48,11,2019
"Kampong Thom","gaussian",14626.0980211347,0.69,8.9,2019
"Kampot","lm",18735.7507342332,0.46,15,2019
"Kampot","gaussian",14728.3723189854,0.45,1.2,2019
"Kandal","lm",16065.3107049036,0.25,69,2019
"Kandal","gaussian",22000.3242360175,0.62,1.4,2019
"Kep","lm",1080.71085526236,0.18,95,2019
"Kep","gaussian",1033.67377569894,0.29,1,2019
"Koh Kong","lm",4350.40579931036,0.64,3.7,2019
"Koh Kong","gaussian",2655.00545881145,0.36,1,2019
"Kratie","lm",17742.1136794601,0.27,7.3,2019
"Kratie","gaussian",14504.9787070654,0.29,1,2019
"Mondul Kiri","lm",6137.29681404791,0.015,4.1,2019
"Mondul Kiri","gaussian",6100.93767764039,0.52,6,2019
"Otdar Meanchey","lm",6780.40882613331,0.5,6.3,2019
"Otdar Meanchey","gaussian",6054.75967075818,0.48,6.2,2019
"Pailin","lm",2653.26315561792,0.26,6.1,2019
"Pailin","gaussian",1712.16067220605,0.22,1,2019
"Phnom Penh","lm",12284.1005608767,0.016,93,2019
"Phnom Penh","gaussian",15939.8725900371,0.89,4.3,2019
"Preah Sihanouk","lm",9270.92374964716,0.041,95,2019
"Preah Sihanouk","gaussian",6153.18351692767,0.29,1,2019
"Preah Vihear","lm",8008.58498282736,0.49,10,2019
"Preah Vihear","gaussian",8029.04290710145,0.52,10,2019
"Prey Veng","lm",19317.8586665937,0.67,7.6,2019
"Prey Veng","gaussian",18162.960583521,0.63,1,2019
"Pursat","lm",13500.6069064541,0.68,10,2019
"Pursat","gaussian",9251.44346915704,0.13,1,2019
"Ratanak Kiri","lm",2291.87515639873,0.27,2.2,2019
"Ratanak Kiri","gaussian",1915.38781620832,0.35,1,2019
"Siem Reap","lm",11759.8755030202,0.71,8,2019
"Siem Reap","gaussian",11960.0081702488,0.63,7.2,2019
"Stung Treng","lm",2208.60364991891,0.25,4.4,2019
"Stung Treng","gaussian",1964.31272164882,0.32,1,2019
"Svay Rieng","lm",22534.9363505561,0.34,95,2019
"Svay Rieng","gaussian",14595.6159478446,0.45,1.4,2019
"Takeo","lm",15902.7349052179,0.79,7.7,2019
"Takeo","gaussian",15160.5275174873,0.8,1.2,2019
