"variable","lag","epiyr","provname"
"precip_mm",-2,2007,"Banteay Meanchey"
"temp_C",-5,2007,"Banteay Meanchey"
"precip_mm",-2,2012,"Banteay Meanchey"
"temp_C",-5,2012,"Banteay Meanchey"
"precip_mm",-2,2019,"Banteay Meanchey"
"temp_C",-7,2019,"Banteay Meanchey"
"precip_mm",-1,2007,"Battambang"
"temp_C",-1,2007,"Battambang"
"precip_mm",-1,2012,"Battambang"
"temp_C",-6,2012,"Battambang"
"precip_mm",-2,2019,"Battambang"
"temp_C",-6,2019,"Battambang"
"precip_mm",-18,2007,"Kampong Cham"
"temp_C",-6,2007,"Kampong Cham"
"precip_mm",-2,2012,"Kampong Cham"
"temp_C",-7,2012,"Kampong Cham"
"precip_mm",-18,2019,"Kampong Cham"
"temp_C",-6,2019,"Kampong Cham"
"precip_mm",-1,2007,"Kampong Chhnang"
"temp_C",-9,2007,"Kampong Chhnang"
"precip_mm",-1,2012,"Kampong Chhnang"
"temp_C",-3,2012,"Kampong Chhnang"
"precip_mm",-18,2019,"Kampong Chhnang"
"temp_C",-5,2019,"Kampong Chhnang"
"precip_mm",-2,2007,"Kampong Speu"
"temp_C",-8,2007,"Kampong Speu"
"precip_mm",-15,2012,"Kampong Speu"
"temp_C",-4,2012,"Kampong Speu"
"precip_mm",-18,2019,"Kampong Speu"
"temp_C",-8,2019,"Kampong Speu"
"precip_mm",-1,2007,"Kampong Thom"
"temp_C",-5,2007,"Kampong Thom"
"precip_mm",-3,2012,"Kampong Thom"
"temp_C",-6,2012,"Kampong Thom"
"precip_mm",-1,2019,"Kampong Thom"
"temp_C",-7,2019,"Kampong Thom"
"precip_mm",-2,2007,"Kampot"
"temp_C",-11,2007,"Kampot"
"precip_mm",-2,2012,"Kampot"
"temp_C",-11,2012,"Kampot"
"precip_mm",-18,2019,"Kampot"
"temp_C",-5,2019,"Kampot"
"precip_mm",-2,2007,"Kandal"
"temp_C",-11,2007,"Kandal"
"precip_mm",-2,2012,"Kandal"
"temp_C",-5,2012,"Kandal"
"precip_mm",-2,2019,"Kandal"
"temp_C",-11,2019,"Kandal"
"precip_mm",-3,2007,"Kep"
"temp_C",-6,2007,"Kep"
"precip_mm",-5,2012,"Kep"
"temp_C",-5,2012,"Kep"
"precip_mm",-2,2019,"Kep"
"temp_C",-6,2019,"Kep"
"precip_mm",-2,2007,"Koh Kong"
"temp_C",-2,2007,"Koh Kong"
"precip_mm",-3,2012,"Koh Kong"
"temp_C",-8,2012,"Koh Kong"
"precip_mm",-16,2019,"Koh Kong"
"temp_C",-4,2019,"Koh Kong"
"precip_mm",-1,2007,"Kratie"
"temp_C",-6,2007,"Kratie"
"precip_mm",-1,2012,"Kratie"
"temp_C",-7,2012,"Kratie"
"precip_mm",-2,2019,"Kratie"
"temp_C",-10,2019,"Kratie"
"precip_mm",-1,2007,"Otdar Meanchey"
"temp_C",-8,2007,"Otdar Meanchey"
"precip_mm",-2,2012,"Otdar Meanchey"
"temp_C",-7,2012,"Otdar Meanchey"
"precip_mm",-18,2019,"Otdar Meanchey"
"temp_C",-3,2019,"Otdar Meanchey"
"precip_mm",-2,2007,"Pailin"
"temp_C",-9,2007,"Pailin"
"precip_mm",-6,2012,"Pailin"
"temp_C",-6,2012,"Pailin"
"precip_mm",-3,2019,"Pailin"
"temp_C",-8,2019,"Pailin"
"precip_mm",-3,2007,"Phnom Penh"
"temp_C",-11,2007,"Phnom Penh"
"precip_mm",-4,2012,"Phnom Penh"
"temp_C",-7,2012,"Phnom Penh"
"precip_mm",-2,2019,"Phnom Penh"
"temp_C",-8,2019,"Phnom Penh"
"precip_mm",-1,2007,"Preah Sihanouk"
"temp_C",-11,2007,"Preah Sihanouk"
"precip_mm",-4,2012,"Preah Sihanouk"
"temp_C",-11,2012,"Preah Sihanouk"
"precip_mm",-2,2019,"Preah Sihanouk"
"temp_C",-9,2019,"Preah Sihanouk"
"precip_mm",-1,2007,"Preah Vihear"
"temp_C",-6,2007,"Preah Vihear"
"precip_mm",-1,2012,"Preah Vihear"
"temp_C",-7,2012,"Preah Vihear"
"precip_mm",-1,2019,"Preah Vihear"
"temp_C",-7,2019,"Preah Vihear"
"precip_mm",-18,2007,"Prey Veng"
"temp_C",-4,2007,"Prey Veng"
"precip_mm",-15,2012,"Prey Veng"
"temp_C",-1,2012,"Prey Veng"
"precip_mm",-18,2019,"Prey Veng"
"temp_C",-5,2019,"Prey Veng"
"precip_mm",-18,2007,"Pursat"
"temp_C",-5,2007,"Pursat"
"precip_mm",-1,2012,"Pursat"
"temp_C",-7,2012,"Pursat"
"precip_mm",-4,2019,"Pursat"
"temp_C",-8,2019,"Pursat"
"precip_mm",-2,2007,"Siem Reap"
