"time","cases","births","pop","year","biweek","provname","cases_per_100000","reconstructed_annual_period","reconstructed_multi_period","multi_period_mean","avg_wave_power_annual","avg_wave_power_multi"
2002,2,646.907645745235,627760.9371618,2002,1,"Banteay Meanchey",0.318592617285538,-3.23901704115843,1.9966179826418,4.15874729172927,1.84500184108012,0.452175350194794
2002.03846153846,2,647.03293551863,628213.995344026,2002,2,"Banteay Meanchey",0.318362853235186,-3.29299401598875,2.08848202655218,4.15222757496519,1.95613894168947,0.459163986967573
2002.07692307692,2,647.158225292025,628667.053526253,2002,3,"Banteay Meanchey",0.318133420350535,-3.18456692896643,2.18948340315521,4.14561107751271,2.06978507337125,0.464602259467912
2002.11538461538,2,647.28351506542,629120.111708479,2002,4,"Banteay Meanchey",0.317904317916124,-2.8990890704247,2.27434661389617,4.13889664888185,2.18550844821312,0.471720239084858
2002.15384615385,16,647.408804838815,629573.169890705,2002,5,"Banteay Meanchey",2.54140436174839,-2.35137715322139,2.38486905330637,4.13208345455294,2.30274565954916,0.474989665047052
2002.19230769231,25,647.534094612211,630026.228072932,2002,6,"Banteay Meanchey",3.96808876933073,-1.71372400208267,2.45640119343022,4.12517098228394,2.4215691238672,0.482207217948577
2002.23076923077,24,647.659384385606,630479.286255158,2002,7,"Banteay Meanchey",3.80662783428655,-0.921744547620695,2.52155961733612,4.11815904701276,2.54096304214777,0.489505217470147
2002.26923076923,2,647.784674159001,630932.344437385,2002,8,"Banteay Meanchey",0.316991198443542,-0.0497929876263133,2.602846667446,4.11104779431404,2.68053698527641,0.492655830193993
2002.30769230769,37,647.909963932396,631385.402619611,2002,9,"Banteay Meanchey",5.86012914560384,0.960451503238639,2.6848049562622,4.10383770238074,2.80196429962099,0.498287021940349
2002.34615384615,67,648.035253705791,631838.460801837,2002,10,"Banteay Meanchey",10.6039761990705,1.95668273760376,2.74590597777194,4.09652958251222,2.92265592877904,0.501378297910011
2002.38461538462,65,648.160543479186,632291.518984064,2002,11,"Banteay Meanchey",10.2800682989452,2.90218324154911,2.78177417935158,4.08912457810229,3.04054647830223,0.508838185988209
2002.42307692308,43,648.285833252581,632744.57716629,2002,12,"Banteay Meanchey",6.79579115360783,3.70793602320312,2.8179488139691,4.08162416213231,3.15834305123934,0.511802262159778
2002.46153846154,132,648.411123025976,633197.635348516,2002,13,"Banteay Meanchey",20.8465718491425,4.31826717765091,2.83568904417854,4.07403013318657,3.27380517610544,0.519358748852733
2002.5,119,648.536412799372,633650.693530743,2002,14,"Banteay Meanchey",18.780063087586,4.84623884257331,2.84509887795879,4.06634461001871,3.35635030166085,0.526996339897468
2002.53846153846,105,648.661702572767,634103.751712969,2002,15,"Banteay Meanchey",16.5588044095864,4.87822636355258,2.84457004583701,4.05857002470971,3.49313742947179,0.529853666861818
2002.57692307692,105,648.786992346162,634556.809895196,2002,16,"Banteay Meanchey",16.5469818245811,4.68444112531652,2.83458192201067,4.05070911446872,3.59841043292429,0.537587226490654
2002.61538461538,59,648.912282119557,635009.868077422,2002,17,"Banteay Meanchey",9.29119419492337,4.29320986170749,2.81577625384217,4.04276491213896,3.69528229228228,0.545402597108921
2002.65384615385,73,649.037571892952,635462.926259648,2002,18,"Banteay Meanchey",11.4876882636852,3.51549724272142,2.78804593194105,4.03474073548045,3.79105652426172,0.553300159196276
2002.69230769231,54,649.162861666347,635915.984441875,2002,19,"Banteay Meanchey",8.49168778913369,2.55194977301249,2.7381924506702,4.02664017531065,3.90767190772671,0.556068223137023
2002.73076923077,60,649.288151439742,636369.042624101,2002,20,"Banteay Meanchey",9.42849132833157,1.33613883212792,2.69015170257411,4.01846708259221,3.9930694434577,0.564061497710107
2002.76923076923,42,649.413441213137,636822.100806327,2002,21,"Banteay Meanchey",6.59524849197613,-0.0027849357462702,2.63299882288996,4.01022555456412,4.07209108990422,0.572137624537048
2002.80769230769,21,649.538730986533,637275.158988554,2002,22,"Banteay Meanchey",3.29527986518884,-1.38467080423108,2.5667241823322,4.00191992001892,4.14434686438046,0.580296964305016
2002.84615384615,18,649.664020759928,637728.21717078,2002,23,"Banteay Meanchey",2.82251898463193,-2.72487506732851,2.55703193088006,3.99355472383333,4.20948441502805,0.586518295856945
2002.88461538462,10,649.789310533323,638181.275353006,2002,24,"Banteay Meanchey",1.56695289978048,-3.93981301070354,2.47400974900823,3.98513471086389,4.2671924557327,0.5948014335321
2002.92307692308,10,649.914600306718,638634.333535233,2002,25,"Banteay Meanchey",1.56584127643809,-4.95252928493516,2.38180113062532,3.97666480932149,4.31720393926452,0.603167893126905
2002.96153846154,3,650.039890080113,639087.391717459,2002,26,"Banteay Meanchey",0.469419368756113,-5.69789260436387,2.28049068733438,3.9681501137404,4.3592989388612,0.611617999572795
2003,14,650.165179853508,639539.027655765,2003,1,"Banteay Meanchey",2.18907672473361,-6.12704345678977,2.13779898273105,3.95959586765761,4.39330720863083,0.614430197069169
2003.03846153846,14,650.290469626903,639965.063203502,2003,2,"Banteay Meanchey",2.18761941939761,-6.12602676424046,2.01664141353151,3.95100744611757,4.45864558016552,0.62297679025204
2003.07692307692,10,650.478918112648,640391.098751239,2003,3,"Banteay Meanchey",1.56154575219736,-5.96621057560876,1.88682934118825,3.94239033811529,4.46482520437038,0.631607570073374
2003.11538461538,4,650.70755850625,640817.134298976,2003,4,"Banteay Meanchey",0.624203034829244,-5.35585182168367,1.74855602283848,3.93375012908801,4.47420261218291,0.640322837732261
2003.15384615385,9,650.936198899853,641243.169846714,2003,5,"Banteay Meanchey",1.40352372129771,-4.36677266029049,1.60204059682831,3.92509248356163,4.4880770107608,0.649122886863311
