"year_range","mid_year","corr","provname","comp_prov","full_ts_corr","dist_m","dist_km","dist_from_PP_m","dist_from_PP_km"
"2002-2006",2004,0.148304934902372,"Banteay Meanchey","Battambang",0.844968311250785,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
"2003-2007",2005,0.899256984048605,"Banteay Meanchey","Battambang",0.844968311250785,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
"2004-2008",2006,0.884783788619953,"Banteay Meanchey","Battambang",0.844968311250785,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
"2005-2009",2007,0.949000551053016,"Banteay Meanchey","Battambang",0.844968311250785,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
"2006-2010",2008,0.948676514336233,"Banteay Meanchey","Battambang",0.844968311250785,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
"2007-2011",2009,0.986017355549584,"Banteay Meanchey","Battambang",0.844968311250785,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
"2008-2012",2010,0.995446005192958,"Banteay Meanchey","Battambang",0.844968311250785,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
"2009-2013",2011,0.990948151157286,"Banteay Meanchey","Battambang",0.844968311250785,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
"2010-2014",2012,0.991629308512518,"Banteay Meanchey","Battambang",0.844968311250785,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
"2011-2015",2013,0.989044278041486,"Banteay Meanchey","Battambang",0.844968311250785,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
"2012-2016",2014,0.980758811356872,"Banteay Meanchey","Battambang",0.844968311250785,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
"2013-2017",2015,0.835729896105234,"Banteay Meanchey","Battambang",0.844968311250785,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
"2014-2018",2016,0.833713122041197,"Banteay Meanchey","Battambang",0.844968311250785,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
"2015-2019",2017,0.988592480398471,"Banteay Meanchey","Battambang",0.844968311250785,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
"2016-2020",2018,0.989771586142725,"Banteay Meanchey","Battambang",0.844968311250785,99482.8677160151,99.4828677160151,312253.511127179,312.253511127179
"2002-2006",2004,0.300467312392723,"Banteay Meanchey","Kampong Cham",0.756284672897198,296753.118377888,296.753118377888,312253.511127179,312.253511127179
"2003-2007",2005,0.768123983495848,"Banteay Meanchey","Kampong Cham",0.756284672897198,296753.118377888,296.753118377888,312253.511127179,312.253511127179
"2004-2008",2006,0.786661323649813,"Banteay Meanchey","Kampong Cham",0.756284672897198,296753.118377888,296.753118377888,312253.511127179,312.253511127179
"2005-2009",2007,0.805358232154836,"Banteay Meanchey","Kampong Cham",0.756284672897198,296753.118377888,296.753118377888,312253.511127179,312.253511127179
"2006-2010",2008,0.868783964160087,"Banteay Meanchey","Kampong Cham",0.756284672897198,296753.118377888,296.753118377888,312253.511127179,312.253511127179
"2007-2011",2009,0.855724599663775,"Banteay Meanchey","Kampong Cham",0.756284672897198,296753.118377888,296.753118377888,312253.511127179,312.253511127179
"2008-2012",2010,0.873190694481828,"Banteay Meanchey","Kampong Cham",0.756284672897198,296753.118377888,296.753118377888,312253.511127179,312.253511127179
"2009-2013",2011,0.920154619021286,"Banteay Meanchey","Kampong Cham",0.756284672897198,296753.118377888,296.753118377888,312253.511127179,312.253511127179
"2010-2014",2012,0.955438119615386,"Banteay Meanchey","Kampong Cham",0.756284672897198,296753.118377888,296.753118377888,312253.511127179,312.253511127179
"2011-2015",2013,0.95875413046801,"Banteay Meanchey","Kampong Cham",0.756284672897198,296753.118377888,296.753118377888,312253.511127179,312.253511127179
"2012-2016",2014,0.951694762340631,"Banteay Meanchey","Kampong Cham",0.756284672897198,296753.118377888,296.753118377888,312253.511127179,312.253511127179
"2013-2017",2015,0.855541032088077,"Banteay Meanchey","Kampong Cham",0.756284672897198,296753.118377888,296.753118377888,312253.511127179,312.253511127179
"2014-2018",2016,0.874601486206076,"Banteay Meanchey","Kampong Cham",0.756284672897198,296753.118377888,296.753118377888,312253.511127179,312.253511127179
"2015-2019",2017,0.940974355562988,"Banteay Meanchey","Kampong Cham",0.756284672897198,296753.118377888,296.753118377888,312253.511127179,312.253511127179
"2016-2020",2018,0.943790768013284,"Banteay Meanchey","Kampong Cham",0.756284672897198,296753.118377888,296.753118377888,312253.511127179,312.253511127179
"2002-2006",2004,0.0451214753883941,"Banteay Meanchey","Kampong Chhnang",0.745231354734441,240355.202030747,240.355202030747,312253.511127179,312.253511127179
"2003-2007",2005,0.242907720439578,"Banteay Meanchey","Kampong Chhnang",0.745231354734441,240355.202030747,240.355202030747,312253.511127179,312.253511127179
"2004-2008",2006,0.278817568681865,"Banteay Meanchey","Kampong Chhnang",0.745231354734441,240355.202030747,240.355202030747,312253.511127179,312.253511127179
"2005-2009",2007,0.294639527755468,"Banteay Meanchey","Kampong Chhnang",0.745231354734441,240355.202030747,240.355202030747,312253.511127179,312.253511127179
"2006-2010",2008,0.337667217928656,"Banteay Meanchey","Kampong Chhnang",0.745231354734441,240355.202030747,240.355202030747,312253.511127179,312.253511127179
"2007-2011",2009,0.522974965209791,"Banteay Meanchey","Kampong Chhnang",0.745231354734441,240355.202030747,240.355202030747,312253.511127179,312.253511127179
"2008-2012",2010,0.81871632593308,"Banteay Meanchey","Kampong Chhnang",0.745231354734441,240355.202030747,240.355202030747,312253.511127179,312.253511127179
"2009-2013",2011,0.847679339495244,"Banteay Meanchey","Kampong Chhnang",0.745231354734441,240355.202030747,240.355202030747,312253.511127179,312.253511127179
"2010-2014",2012,0.887172658920309,"Banteay Meanchey","Kampong Chhnang",0.745231354734441,240355.202030747,240.355202030747,312253.511127179,312.253511127179
"2011-2015",2013,0.890883608477795,"Banteay Meanchey","Kampong Chhnang",0.745231354734441,240355.202030747,240.355202030747,312253.511127179,312.253511127179
"2012-2016",2014,0.889953933940569,"Banteay Meanchey","Kampong Chhnang",0.745231354734441,240355.202030747,240.355202030747,312253.511127179,312.253511127179
"2013-2017",2015,0.727373514254763,"Banteay Meanchey","Kampong Chhnang",0.745231354734441,240355.202030747,240.355202030747,312253.511127179,312.253511127179
"2014-2018",2016,0.711310105431199,"Banteay Meanchey","Kampong Chhnang",0.745231354734441,240355.202030747,240.355202030747,312253.511127179,312.253511127179
"2015-2019",2017,0.881872902125591,"Banteay Meanchey","Kampong Chhnang",0.745231354734441,240355.202030747,240.355202030747,312253.511127179,312.253511127179
"2016-2020",2018,0.892122448532609,"Banteay Meanchey","Kampong Chhnang",0.745231354734441,240355.202030747,240.355202030747,312253.511127179,312.253511127179
"2002-2006",2004,0.461388060741809,"Banteay Meanchey","Kampong Speu",0.851541082356143,278591.934064009,278.591934064009,312253.511127179,312.253511127179
"2003-2007",2005,0.809996494509742,"Banteay Meanchey","Kampong Speu",0.851541082356143,278591.934064009,278.591934064009,312253.511127179,312.253511127179
"2004-2008",2006,0.79701537221587,"Banteay Meanchey","Kampong Speu",0.851541082356143,278591.934064009,278.591934064009,312253.511127179,312.253511127179
"2005-2009",2007,0.784805691885846,"Banteay Meanchey","Kampong Speu",0.851541082356143,278591.934064009,278.591934064009,312253.511127179,312.253511127179
"2006-2010",2008,0.8439263721733,"Banteay Meanchey","Kampong Speu",0.851541082356143,278591.934064009,278.591934064009,312253.511127179,312.253511127179
"2007-2011",2009,0.831591817447251,"Banteay Meanchey","Kampong Speu",0.851541082356143,278591.934064009,278.591934064009,312253.511127179,312.253511127179
"2008-2012",2010,0.900634886489909,"Banteay Meanchey","Kampong Speu",0.851541082356143,278591.934064009,278.591934064009,312253.511127179,312.253511127179
"2009-2013",2011,0.937224122281762,"Banteay Meanchey","Kampong Speu",0.851541082356143,278591.934064009,278.591934064009,312253.511127179,312.253511127179
"2010-2014",2012,0.938952093970701,"Banteay Meanchey","Kampong Speu",0.851541082356143,278591.934064009,278.591934064009,312253.511127179,312.253511127179
"2011-2015",2013,0.940971482005575,"Banteay Meanchey","Kampong Speu",0.851541082356143,278591.934064009,278.591934064009,312253.511127179,312.253511127179
"2012-2016",2014,0.955834068422665,"Banteay Meanchey","Kampong Speu",0.851541082356143,278591.934064009,278.591934064009,312253.511127179,312.253511127179
"2013-2017",2015,0.884848889162695,"Banteay Meanchey","Kampong Speu",0.851541082356143,278591.934064009,278.591934064009,312253.511127179,312.253511127179
"2014-2018",2016,0.880551528142851,"Banteay Meanchey","Kampong Speu",0.851541082356143,278591.934064009,278.591934064009,312253.511127179,312.253511127179
"2015-2019",2017,0.961281888067752,"Banteay Meanchey","Kampong Speu",0.851541082356143,278591.934064009,278.591934064009,312253.511127179,312.253511127179
"2016-2020",2018,0.986208131900414,"Banteay Meanchey","Kampong Speu",0.851541082356143,278591.934064009,278.591934064009,312253.511127179,312.253511127179
"2002-2006",2004,0.525341972503058,"Banteay Meanchey","Kampong Thom",0.724343026880932,231317.925008435,231.317925008435,312253.511127179,312.253511127179
"2003-2007",2005,0.732219121898502,"Banteay Meanchey","Kampong Thom",0.724343026880932,231317.925008435,231.317925008435,312253.511127179,312.253511127179
"2004-2008",2006,0.761506191882891,"Banteay Meanchey","Kampong Thom",0.724343026880932,231317.925008435,231.317925008435,312253.511127179,312.253511127179
"2005-2009",2007,0.807714118170958,"Banteay Meanchey","Kampong Thom",0.724343026880932,231317.925008435,231.317925008435,312253.511127179,312.253511127179
"2006-2010",2008,0.794649358585409,"Banteay Meanchey","Kampong Thom",0.724343026880932,231317.925008435,231.317925008435,312253.511127179,312.253511127179
"2007-2011",2009,0.621302454692453,"Banteay Meanchey","Kampong Thom",0.724343026880932,231317.925008435,231.317925008435,312253.511127179,312.253511127179
"2008-2012",2010,0.630665444711893,"Banteay Meanchey","Kampong Thom",0.724343026880932,231317.925008435,231.317925008435,312253.511127179,312.253511127179
"2009-2013",2011,0.628266122961397,"Banteay Meanchey","Kampong Thom",0.724343026880932,231317.925008435,231.317925008435,312253.511127179,312.253511127179
"2010-2014",2012,0.667284066503342,"Banteay Meanchey","Kampong Thom",0.724343026880932,231317.925008435,231.317925008435,312253.511127179,312.253511127179
"2011-2015",2013,0.697445541405251,"Banteay Meanchey","Kampong Thom",0.724343026880932,231317.925008435,231.317925008435,312253.511127179,312.253511127179
"2012-2016",2014,0.798743456057463,"Banteay Meanchey","Kampong Thom",0.724343026880932,231317.925008435,231.317925008435,312253.511127179,312.253511127179
"2013-2017",2015,0.651928758381659,"Banteay Meanchey","Kampong Thom",0.724343026880932,231317.925008435,231.317925008435,312253.511127179,312.253511127179
"2014-2018",2016,0.77238504996565,"Banteay Meanchey","Kampong Thom",0.724343026880932,231317.925008435,231.317925008435,312253.511127179,312.253511127179
"2015-2019",2017,0.959205577253914,"Banteay Meanchey","Kampong Thom",0.724343026880932,231317.925008435,231.317925008435,312253.511127179,312.253511127179
"2016-2020",2018,0.958582031152246,"Banteay Meanchey","Kampong Thom",0.724343026880932,231317.925008435,231.317925008435,312253.511127179,312.253511127179
"2002-2006",2004,0.282741849084935,"Banteay Meanchey","Kampot",0.719123984359439,361757.125137751,361.757125137751,312253.511127179,312.253511127179
"2003-2007",2005,0.808636674068134,"Banteay Meanchey","Kampot",0.719123984359439,361757.125137751,361.757125137751,312253.511127179,312.253511127179
"2004-2008",2006,0.824182492944742,"Banteay Meanchey","Kampot",0.719123984359439,361757.125137751,361.757125137751,312253.511127179,312.253511127179
"2005-2009",2007,0.87579353852802,"Banteay Meanchey","Kampot",0.719123984359439,361757.125137751,361.757125137751,312253.511127179,312.253511127179
"2006-2010",2008,0.873876029281563,"Banteay Meanchey","Kampot",0.719123984359439,361757.125137751,361.757125137751,312253.511127179,312.253511127179
"2007-2011",2009,0.877364649932094,"Banteay Meanchey","Kampot",0.719123984359439,361757.125137751,361.757125137751,312253.511127179,312.253511127179
"2008-2012",2010,0.800154268792432,"Banteay Meanchey","Kampot",0.719123984359439,361757.125137751,361.757125137751,312253.511127179,312.253511127179
"2009-2013",2011,0.738624951424784,"Banteay Meanchey","Kampot",0.719123984359439,361757.125137751,361.757125137751,312253.511127179,312.253511127179
"2010-2014",2012,0.711299000150959,"Banteay Meanchey","Kampot",0.719123984359439,361757.125137751,361.757125137751,312253.511127179,312.253511127179
"2011-2015",2013,0.693442889531962,"Banteay Meanchey","Kampot",0.719123984359439,361757.125137751,361.757125137751,312253.511127179,312.253511127179
"2012-2016",2014,0.67614615006318,"Banteay Meanchey","Kampot",0.719123984359439,361757.125137751,361.757125137751,312253.511127179,312.253511127179
"2013-2017",2015,0.350592843994921,"Banteay Meanchey","Kampot",0.719123984359439,361757.125137751,361.757125137751,312253.511127179,312.253511127179
"2014-2018",2016,0.428879161726154,"Banteay Meanchey","Kampot",0.719123984359439,361757.125137751,361.757125137751,312253.511127179,312.253511127179
