"time","cases","births","pop","year","biweek","provname"
2002,2,646.907645745235,627760.9371618,2002,1,"Banteay Meanchey"
2002.03846153846,2,647.03293551863,628213.995344026,2002,2,"Banteay Meanchey"
2002.07692307692,2,647.158225292025,628667.053526253,2002,3,"Banteay Meanchey"
2002.11538461538,2,647.28351506542,629120.111708479,2002,4,"Banteay Meanchey"
2002.15384615385,16,647.408804838815,629573.169890705,2002,5,"Banteay Meanchey"
2002.19230769231,25,647.534094612211,630026.228072932,2002,6,"Banteay Meanchey"
2002.23076923077,24,647.659384385606,630479.286255158,2002,7,"Banteay Meanchey"
2002.26923076923,2,647.784674159001,630932.344437385,2002,8,"Banteay Meanchey"
2002.30769230769,37,647.909963932396,631385.402619611,2002,9,"Banteay Meanchey"
2002.34615384615,67,648.035253705791,631838.460801837,2002,10,"Banteay Meanchey"
2002.38461538462,65,648.160543479186,632291.518984064,2002,11,"Banteay Meanchey"
2002.42307692308,43,648.285833252581,632744.57716629,2002,12,"Banteay Meanchey"
2002.46153846154,132,648.411123025976,633197.635348516,2002,13,"Banteay Meanchey"
2002.5,119,648.536412799372,633650.693530743,2002,14,"Banteay Meanchey"
2002.53846153846,105,648.661702572767,634103.751712969,2002,15,"Banteay Meanchey"
2002.57692307692,105,648.786992346162,634556.809895196,2002,16,"Banteay Meanchey"
2002.61538461538,59,648.912282119557,635009.868077422,2002,17,"Banteay Meanchey"
2002.65384615385,73,649.037571892952,635462.926259648,2002,18,"Banteay Meanchey"
2002.69230769231,54,649.162861666347,635915.984441875,2002,19,"Banteay Meanchey"
2002.73076923077,60,649.288151439742,636369.042624101,2002,20,"Banteay Meanchey"
2002.76923076923,42,649.413441213137,636822.100806327,2002,21,"Banteay Meanchey"
2002.80769230769,21,649.538730986533,637275.158988554,2002,22,"Banteay Meanchey"
2002.84615384615,18,649.664020759928,637728.21717078,2002,23,"Banteay Meanchey"
2002.88461538462,10,649.789310533323,638181.275353006,2002,24,"Banteay Meanchey"
2002.92307692308,10,649.914600306718,638634.333535233,2002,25,"Banteay Meanchey"
2002.96153846154,3,650.039890080113,639087.391717459,2002,26,"Banteay Meanchey"
2003,14,650.165179853508,639539.027655765,2003,1,"Banteay Meanchey"
2003.03846153846,14,650.290469626903,639965.063203502,2003,2,"Banteay Meanchey"
2003.07692307692,10,650.478918112648,640391.098751239,2003,3,"Banteay Meanchey"
2003.11538461538,4,650.70755850625,640817.134298976,2003,4,"Banteay Meanchey"
2003.15384615385,9,650.936198899853,641243.169846714,2003,5,"Banteay Meanchey"
2003.19230769231,12,651.164839293456,641669.205394451,2003,6,"Banteay Meanchey"
2003.23076923077,19,651.393479687059,642095.240942188,2003,7,"Banteay Meanchey"
2003.26923076923,41,651.622120080662,642521.276489925,2003,8,"Banteay Meanchey"
2003.30769230769,19,651.850760474265,642947.312037662,2003,9,"Banteay Meanchey"
2003.34615384615,42,652.079400867868,643373.347585399,2003,10,"Banteay Meanchey"
2003.38461538462,76,652.308041261471,643799.383133136,2003,11,"Banteay Meanchey"
2003.42307692308,107,652.536681655073,644225.418680873,2003,12,"Banteay Meanchey"
2003.46153846154,114,652.765322048676,644651.45422861,2003,13,"Banteay Meanchey"
2003.5,143,652.993962442279,645077.489776348,2003,14,"Banteay Meanchey"
2003.53846153846,144,653.222602835882,645503.525324085,2003,15,"Banteay Meanchey"
2003.57692307692,108,653.451243229485,645929.560871822,2003,16,"Banteay Meanchey"
2003.61538461538,79,653.679883623088,646355.596419559,2003,17,"Banteay Meanchey"
2003.65384615385,52,653.908524016691,646781.631967296,2003,18,"Banteay Meanchey"
2003.69230769231,46,654.137164410294,647207.667515033,2003,19,"Banteay Meanchey"
2003.73076923077,45,654.365804803897,647633.70306277,2003,20,"Banteay Meanchey"
2003.76923076923,34,654.594445197499,648059.738610507,2003,21,"Banteay Meanchey"
2003.80769230769,20,654.823085591102,648485.774158245,2003,22,"Banteay Meanchey"
2003.84615384615,7,655.051725984705,648911.809705982,2003,23,"Banteay Meanchey"
2003.88461538462,4,655.280366378308,649337.845253719,2003,24,"Banteay Meanchey"
2003.92307692308,5,655.509006771911,649763.880801456,2003,25,"Banteay Meanchey"
2003.96153846154,4,655.737647165514,650189.916349193,2003,26,"Banteay Meanchey"
2004,2,655.966287559117,650614.279200125,2004,1,"Banteay Meanchey"
2004.03846153846,2,656.19492795272,651024.424128216,2004,2,"Banteay Meanchey"
2004.07692307692,2,656.423568346323,651434.569056307,2004,3,"Banteay Meanchey"
2004.11538461538,3,656.669150563118,651844.713984398,2004,4,"Banteay Meanchey"
2004.15384615385,2,656.974029161089,652254.858912489,2004,5,"Banteay Meanchey"
2004.19230769231,4,657.27890775906,652665.00384058,2004,6,"Banteay Meanchey"
2004.23076923077,2,657.583786357031,653075.148768671,2004,7,"Banteay Meanchey"
2004.26923076923,3,657.888664955002,653485.293696761,2004,8,"Banteay Meanchey"
2004.30769230769,11,658.193543552973,653895.438624852,2004,9,"Banteay Meanchey"
2004.34615384615,3,658.498422150944,654305.583552943,2004,10,"Banteay Meanchey"
2004.38461538462,10,658.803300748915,654715.728481034,2004,11,"Banteay Meanchey"
2004.42307692308,11,659.108179346886,655125.873409125,2004,12,"Banteay Meanchey"
2004.46153846154,11,659.413057944857,655536.018337216,2004,13,"Banteay Meanchey"
2004.5,9,659.717936542829,655946.163265307,2004,14,"Banteay Meanchey"
2004.53846153846,16,660.022815140799,656356.308193397,2004,15,"Banteay Meanchey"
2004.57692307692,11,660.32769373877,656766.453121488,2004,16,"Banteay Meanchey"
2004.61538461538,19,660.632572336742,657176.598049579,2004,17,"Banteay Meanchey"
2004.65384615385,14,660.937450934713,657586.74297767,2004,18,"Banteay Meanchey"
2004.69230769231,7,661.242329532684,657996.887905761,2004,19,"Banteay Meanchey"
2004.73076923077,12,661.547208130654,658407.032833852,2004,20,"Banteay Meanchey"
2004.76923076923,5,661.852086728626,658817.177761943,2004,21,"Banteay Meanchey"
2004.80769230769,2,662.156965326597,659227.322690034,2004,22,"Banteay Meanchey"
2004.84615384615,4,662.461843924568,659637.467618124,2004,23,"Banteay Meanchey"
2004.88461538462,2,662.766722522539,660047.612546215,2004,24,"Banteay Meanchey"
2004.92307692308,3,663.07160112051,660457.757474306,2004,25,"Banteay Meanchey"
2004.96153846154,3,663.376479718481,660867.902402397,2004,26,"Banteay Meanchey"
2005,2,663.681358316452,661276.992964903,2005,1,"Banteay Meanchey"
2005.03846153846,2,663.986236914423,661680.460244286,2005,2,"Banteay Meanchey"
2005.07692307692,2,664.291115512394,662083.927523669,2005,3,"Banteay Meanchey"
2005.11538461538,2,664.595994110365,662487.394803053,2005,4,"Banteay Meanchey"
2005.15384615385,8,664.900872708336,662890.862082436,2005,5,"Banteay Meanchey"
2005.19230769231,2,665.235856486156,663294.329361819,2005,6,"Banteay Meanchey"
2005.23076923077,8,665.576861299947,663697.796641203,2005,7,"Banteay Meanchey"
2005.26923076923,6,665.917866113738,664101.263920586,2005,8,"Banteay Meanchey"
2005.30769230769,10,666.258870927528,664504.73119997,2005,9,"Banteay Meanchey"
2005.34615384615,24,666.599875741319,664908.198479353,2005,10,"Banteay Meanchey"
2005.38461538462,63,666.94088055511,665311.665758736,2005,11,"Banteay Meanchey"
2005.42307692308,44,667.2818853689,665715.13303812,2005,12,"Banteay Meanchey"
2005.46153846154,74,667.622890182691,666118.600317503,2005,13,"Banteay Meanchey"
2005.5,171,667.963894996482,666522.067596886,2005,14,"Banteay Meanchey"
2005.53846153846,234,668.304899810272,666925.53487627,2005,15,"Banteay Meanchey"
2005.57692307692,172,668.645904624063,667329.002155653,2005,16,"Banteay Meanchey"
2005.61538461538,159,668.986909437854,667732.469435037,2005,17,"Banteay Meanchey"
2005.65384615385,79,669.327914251644,668135.93671442,2005,18,"Banteay Meanchey"
2005.69230769231,82,669.668919065435,668539.403993803,2005,19,"Banteay Meanchey"
2005.73076923077,27,670.009923879226,668942.871273187,2005,20,"Banteay Meanchey"
2005.76923076923,22,670.350928693016,669346.33855257,2005,21,"Banteay Meanchey"
2005.80769230769,18,670.691933506807,669749.805831953,2005,22,"Banteay Meanchey"
2005.84615384615,19,671.032938320598,670153.273111337,2005,23,"Banteay Meanchey"
2005.88461538462,6,671.373943134388,670556.74039072,2005,24,"Banteay Meanchey"
2005.92307692308,4,671.714947948179,670960.207670103,2005,25,"Banteay Meanchey"
2005.96153846154,5,672.05595276197,671363.674949487,2005,26,"Banteay Meanchey"
2006,3,672.396957575761,671766.103465268,2006,1,"Banteay Meanchey"
2006.03846153846,4,672.737962389551,672164.63661754,2006,2,"Banteay Meanchey"
2006.07692307692,2,673.078967203342,672563.169769811,2006,3,"Banteay Meanchey"
2006.11538461538,2,673.419972017133,672961.702922083,2006,4,"Banteay Meanchey"
2006.15384615385,4,673.760976830923,673360.236074355,2006,5,"Banteay Meanchey"
2006.19230769231,3,674.101981644714,673758.769226627,2006,6,"Banteay Meanchey"
2006.23076923077,5,674.4381750901,674157.302378899,2006,7,"Banteay Meanchey"
2006.26923076923,8,674.768354324982,674555.83553117,2006,8,"Banteay Meanchey"
2006.30769230769,17,675.098533559863,674954.368683442,2006,9,"Banteay Meanchey"
2006.34615384615,6,675.428712794745,675352.901835714,2006,10,"Banteay Meanchey"
2006.38461538462,10,675.758892029627,675751.434987986,2006,11,"Banteay Meanchey"
2006.42307692308,34,676.089071264508,676149.968140258,2006,12,"Banteay Meanchey"
2006.46153846154,26,676.41925049939,676548.501292529,2006,13,"Banteay Meanchey"
2006.5,37,676.749429734271,676947.034444801,2006,14,"Banteay Meanchey"
2006.53846153846,46,677.079608969153,677345.567597073,2006,15,"Banteay Meanchey"
2006.57692307692,56,677.409788204034,677744.100749345,2006,16,"Banteay Meanchey"
2006.61538461538,68,677.739967438916,678142.633901617,2006,17,"Banteay Meanchey"
2006.65384615385,76,678.070146673797,678541.167053888,2006,18,"Banteay Meanchey"
2006.69230769231,19,678.400325908679,678939.70020616,2006,19,"Banteay Meanchey"
2006.73076923077,17,678.73050514356,679338.233358432,2006,20,"Banteay Meanchey"
2006.76923076923,10,679.060684378442,679736.766510704,2006,21,"Banteay Meanchey"
2006.80769230769,12,679.390863613324,680135.299662976,2006,22,"Banteay Meanchey"
2006.84615384615,11,679.721042848205,680533.832815247,2006,23,"Banteay Meanchey"
2006.88461538462,3,680.051222083086,680932.365967519,2006,24,"Banteay Meanchey"
2006.92307692308,7,680.381401317968,681330.899119791,2006,25,"Banteay Meanchey"
2006.96153846154,6,680.71158055285,681729.432272063,2006,26,"Banteay Meanchey"
2007,5,681.041759787731,682126.886629329,2007,1,"Banteay Meanchey"
2007.03846153846,8,681.371939022613,682521.320360577,2007,2,"Banteay Meanchey"
2007.07692307692,9,681.702118257494,682915.754091826,2007,3,"Banteay Meanchey"
2007.11538461538,5,682.032297492376,683310.187823075,2007,4,"Banteay Meanchey"
2007.15384615385,5,682.362476727257,683704.621554323,2007,5,"Banteay Meanchey"
2007.19230769231,15,682.692655962139,684099.055285572,2007,6,"Banteay Meanchey"
2007.23076923077,26,683.02283519702,684493.489016821,2007,7,"Banteay Meanchey"
2007.26923076923,19,683.349908045693,684887.922748069,2007,8,"Banteay Meanchey"
2007.30769230769,58,683.624172328813,685282.356479318,2007,9,"Banteay Meanchey"
2007.34615384615,79,683.898436611932,685676.790210567,2007,10,"Banteay Meanchey"
2007.38461538462,245,684.172700895052,686071.223941815,2007,11,"Banteay Meanchey"
2007.42307692308,320,684.446965178172,686465.657673064,2007,12,"Banteay Meanchey"
2007.46153846154,435,684.721229461292,686860.091404313,2007,13,"Banteay Meanchey"
2007.5,329,684.995493744411,687254.525135561,2007,14,"Banteay Meanchey"
2007.53846153846,361,685.269758027531,687648.95886681,2007,15,"Banteay Meanchey"
2007.57692307692,228,685.544022310651,688043.392598059,2007,16,"Banteay Meanchey"
2007.61538461538,170,685.818286593771,688437.826329308,2007,17,"Banteay Meanchey"
2007.65384615385,120,686.092550876891,688832.260060556,2007,18,"Banteay Meanchey"
2007.69230769231,69,686.36681516001,689226.693791805,2007,19,"Banteay Meanchey"
2007.73076923077,41,686.64107944313,689621.127523054,2007,20,"Banteay Meanchey"
2007.76923076923,33,686.91534372625,690015.561254302,2007,21,"Banteay Meanchey"
2007.80769230769,22,687.18960800937,690409.994985551,2007,22,"Banteay Meanchey"
2007.84615384615,24,687.463872292489,690804.4287168,2007,23,"Banteay Meanchey"
2007.88461538462,14,687.738136575609,691198.862448048,2007,24,"Banteay Meanchey"
2007.92307692308,7,688.012400858729,691593.296179297,2007,25,"Banteay Meanchey"
2007.96153846154,5,688.286665141849,691987.729910546,2007,26,"Banteay Meanchey"
2008,3,688.560929424969,692383.169969695,2008,1,"Banteay Meanchey"
2008.03846153846,2,688.835193708088,692780.790405964,2008,2,"Banteay Meanchey"
2008.07692307692,2,689.109457991208,693178.410842232,2008,3,"Banteay Meanchey"
2008.11538461538,2,689.383722274328,693576.031278501,2008,4,"Banteay Meanchey"
2008.15384615385,4,689.657986557448,693973.65171477,2008,5,"Banteay Meanchey"
