"year","lambda","N_sero","llik","convergence","lci","uci","provname"
1985,0.0207990404433547,4,12697.0517675648,0,0,0.0875870179466928,"Banteay Meanchey"
1986,0.01595640717471,4,12697.0517675648,0,0,0.0810317844971708,"Banteay Meanchey"
1987,0.0154362477594639,4,12697.0517675648,0,0,0.0787193572542436,"Banteay Meanchey"
1988,0.0425758931238397,4,12697.0517675648,0,0,0.103014320371053,"Banteay Meanchey"
1989,0.0315936363744274,4,12697.0517675648,0,0,0.0884990702542093,"Banteay Meanchey"
1990,0.0768482487541152,4,12697.0517675648,0,0.0244781406512437,0.129218356856987,"Banteay Meanchey"
1991,0.060426648818532,4,12697.0517675648,0,0.0137334231482874,0.107119874488777,"Banteay Meanchey"
1992,0.0907115965875285,4,12697.0517675648,0,0.0493964695140722,0.132026723660985,"Banteay Meanchey"
1993,0.108815689876207,4,12697.0517675648,0,0.0727508663763121,0.144880513376101,"Banteay Meanchey"
1994,0.112099342445897,4,12697.0517675648,0,0.0811145376976082,0.143084147194185,"Banteay Meanchey"
1995,0.10064216858855,4,12697.0517675648,0,0.0739156789895074,0.127368658187593,"Banteay Meanchey"
1996,0.111499133001749,4,12697.0517675648,0,0.0883915979386818,0.134606668064817,"Banteay Meanchey"
1997,0.0974958917981146,4,12697.0517675648,0,0.0773747251351228,0.117617058461106,"Banteay Meanchey"
1998,0.0989794374184154,4,12697.0517675648,0,0.0812912987517307,0.1166675760851,"Banteay Meanchey"
1999,0.100262371406415,4,12697.0517675648,0,0.0848139113949605,0.11571083141787,"Banteay Meanchey"
2000,0.0898948283321956,4,12697.0517675648,0,0.0764577122733534,0.103331944391038,"Banteay Meanchey"
2001,0.104700193647963,4,12697.0517675648,0,0.093254784333525,0.116145602962402,"Banteay Meanchey"
2002,0.102979632758117,4,12697.0517675648,0,0.0947592644058608,0.111200001110373,"Banteay Meanchey"
2003,0.109655217020791,4,12697.0517675648,0,0.102884832511188,0.116425601530395,"Banteay Meanchey"
2004,0.0756434902715787,4,12697.0517675648,0,0.0678585641264573,0.0834284164167,"Banteay Meanchey"
2005,0.106522929300449,4,12697.0517675648,0,0.0996679545005844,0.113377904100314,"Banteay Meanchey"
2006,0.0734692817045443,4,12697.0517675648,0,0.0673755395630573,0.0795630238460313,"Banteay Meanchey"
2007,0.105639443180886,4,12697.0517675648,0,0.100298884044362,0.11098000231741,"Banteay Meanchey"
2008,0.0867774542364605,4,12697.0517675648,0,0.0809797942251116,0.0925751142478093,"Banteay Meanchey"
2009,0.085790038049215,4,12697.0517675648,0,0.0794986323529364,0.0920814437454935,"Banteay Meanchey"
2010,0.101654632985298,4,12697.0517675648,0,0.0962995617370054,0.10700970423359,"Banteay Meanchey"
2011,0.0653932824231707,4,12697.0517675648,0,0.0607657703053256,0.0700207945410158,"Banteay Meanchey"
2012,0.0903170745447966,4,12697.0517675648,0,0.0864847059726917,0.0941494431169016,"Banteay Meanchey"
